,No.,Ticker,Beta,ATR,SMA20,SMA50,SMA200,52W High,52W Low,RSI,Price,Change,from Open,Gap,Volume
680,681,SYF,1.57,0.88,2.52%,9.43%,0.93%,-19.53%,23.73%,59.16,32.9,-1.61%,-1.50%,-0.12%,8459772
681,682,SYK,0.95,6.11,5.25%,2.60%,16.41%,-3.98%,55.87%,66.42,294.35,-0.44%,-1.15%,0.72%,2429656
682,683,SYM,-,3.68,37.47%,64.36%,180.95%,-4.85%,485.37%,76.21,51.22,5.30%,3.64%,1.60%,1929486
683,684,SYY,1.10,1.22,2.01%,-0.79%,-5.40%,-17.39%,6.02%,53.86,73.39,-0.01%,0.08%,-0.10%,4396581
684,685,T,0.62,0.32,1.28%,-6.55%,-10.60%,-24.90%,11.07%,46.45,16.06,0.19%,-0.25%,0.44%,64091844
685,686,TAK,0.66,0.2,-0.31%,-2.36%,6.17%,-6.18%,31.03%,45.84,16.09,-0.37%,-0.25%,-0.12%,3243622
686,687,TAP,0.88,1.15,3.87%,8.01%,23.05%,-2.72%,41.97%,65.1,66.28,-0.48%,-0.84%,0.36%,2521434
687,688,TCOM,0.56,1.21,5.87%,3.91%,10.42%,-10.38%,87.01%,57.23,36.0,0.39%,0.00%,0.39%,4066634
688,689,TD,0.87,1.02,3.60%,1.90%,-3.58%,-13.46%,10.34%,59.82,61.16,0.30%,0.13%,0.16%,1978473
689,690,TDG,1.36,14.66,2.20%,4.65%,20.66%,-1.89%,67.79%,59.26,815.89,-1.06%,-1.32%,0.26%,402828
690,691,TDY,1.07,7.5,1.62%,-1.61%,0.64%,-9.42%,25.06%,52.46,406.43,-0.63%,-1.03%,0.40%,371773
691,692,TEAM,0.79,7.78,4.24%,12.15%,5.87%,-40.79%,56.16%,58.82,177.8,-2.41%,-2.91%,0.51%,2681970
692,693,TECH,1.23,2.16,-3.33%,-3.36%,-0.59%,-20.98%,15.42%,44.44,78.49,2.45%,1.38%,1.06%,2738282
693,694,TECK,1.09,1.52,1.42%,-3.17%,10.64%,-14.96%,71.48%,48.94,41.96,-3.05%,-3.54%,0.51%,5793344
694,695,TEF,0.62,0.08,-6.95%,-10.18%,-0.43%,-25.05%,24.52%,29.83,3.86,-3.26%,-3.26%,0.00%,8259581
695,696,TEL,1.32,2.39,7.97%,8.99%,10.25%,-1.87%,29.49%,72.07,135.65,1.66%,0.48%,1.18%,3289220
696,697,TER,1.53,2.85,8.17%,12.83%,18.41%,-0.99%,63.78%,69.62,111.06,0.88%,-0.17%,1.05%,3380416
697,698,TFC,1.05,1.33,1.36%,2.70%,-21.75%,-38.91%,24.80%,52.57,31.9,-0.99%,-0.90%,-0.09%,21743230
698,699,TFII,1.42,2.69,-1.41%,-3.07%,-1.09%,-17.59%,48.33%,45.56,106.25,0.09%,-0.54%,0.64%,497704
699,700,TFX,1.00,5.99,5.89%,0.15%,7.07%,-8.69%,38.19%,61.16,252.4,1.45%,0.58%,0.86%,443037
700,701,TGT,1.03,4.05,-2.22%,-11.27%,-15.46%,-27.23%,6.98%,41.58,133.81,-2.92%,-2.92%,-0.01%,9828359
701,702,TJX,0.91,1.37,3.66%,3.87%,7.91%,-2.25%,48.96%,62.74,81.26,-0.27%,-0.90%,0.64%,8389040
702,703,TLK,-,0.44,-2.75%,-4.62%,-0.54%,-16.40%,16.00%,38.7,26.71,-1.37%,0.19%,-1.55%,191206
703,704,TM,0.70,3.34,12.51%,16.47%,17.05%,-2.79%,26.36%,73.65,164.35,-2.28%,-0.96%,-1.33%,420417
704,705,TME,0.85,0.38,5.47%,6.57%,18.17%,-13.56%,155.73%,56.8,8.03,-3.60%,-3.02%,-0.60%,12469524
705,706,TMO,0.79,10.68,3.18%,-0.83%,-1.40%,-12.07%,12.93%,57.11,537.3,0.41%,-0.26%,0.67%,3423931
706,707,TMUS,0.54,3.16,-2.44%,-7.31%,-8.45%,-15.19%,7.53%,42.28,130.93,-1.38%,-0.39%,-0.99%,13010625
707,708,TOST,-,1.0,-0.44%,10.46%,12.45%,-16.61%,78.68%,52.32,21.71,-5.73%,-5.81%,0.09%,10594518
708,709,TPL,1.85,45.13,0.53%,-6.72%,-29.21%,-50.40%,6.49%,45.94,1358.6,-0.26%,-0.56%,0.30%,61981
709,710,TPR,1.49,1.19,2.89%,4.98%,12.36%,-8.66%,57.54%,57.09,43.37,-0.16%,-0.87%,0.71%,3637112
710,711,TRGP,2.25,1.73,1.82%,-0.90%,0.58%,-9.92%,29.21%,53.26,71.79,-0.17%,-0.72%,0.56%,2758195
711,712,TRI,0.57,2.13,4.15%,2.50%,10.50%,-2.82%,35.17%,65.26,129.79,1.10%,0.61%,0.48%,477517
712,713,TRMB,1.58,1.23,7.20%,9.05%,-1.57%,-27.09%,15.94%,65.14,52.67,-0.47%,-1.29%,0.83%,1927766
713,714,TROW,1.31,2.78,4.33%,4.45%,1.36%,-15.20%,22.08%,60.1,114.18,-0.44%,-1.10%,0.66%,2841191
714,715,TRP,0.88,0.78,0.28%,-0.90%,-3.92%,-26.86%,10.33%,48.4,40.59,-1.53%,-2.10%,0.58%,3513223
715,716,TRU,1.36,1.65,3.12%,10.57%,17.31%,-16.22%,49.98%,65.25,75.47,-0.80%,-1.37%,0.58%,2190130
716,717,TRV,0.62,2.9,0.59%,-0.25%,-0.39%,-9.13%,18.11%,51.31,176.75,0.44%,-0.69%,1.14%,2317854
717,718,TS,1.46,0.68,5.47%,2.44%,-7.59%,-25.66%,27.02%,58.6,28.25,-0.88%,-0.88%,0.00%,2825215
718,719,TSCO,0.82,4.96,0.96%,-5.06%,-0.24%,-12.84%,20.69%,46.93,218.93,-0.80%,-1.63%,0.84%,1558121
719,720,TSLA,2.03,9.29,21.67%,38.18%,33.01%,-17.20%,155.91%,85.94,260.54,1.81%,0.51%,1.29%,167208920
720,721,TSM,1.09,2.98,5.23%,14.53%,25.54%,-5.53%,75.95%,65.75,104.57,-0.58%,-0.49%,-0.10%,11421795
721,722,TSN,0.74,1.12,-0.87%,-8.50%,-18.96%,-43.23%,6.96%,41.63,50.39,0.36%,0.06%,0.30%,4114947
722,723,TT,1.06,3.62,8.23%,6.59%,8.93%,-4.67%,55.06%,70.03,187.06,0.98%,0.10%,0.87%,2099893
723,724,TTC,0.71,2.64,-3.75%,-5.47%,-7.01%,-17.19%,35.58%,40.96,97.43,-0.27%,-0.49%,0.23%,1315737
724,725,TTD,1.73,2.39,6.33%,15.53%,34.70%,-2.76%,95.97%,68.76,76.43,-1.09%,-1.50%,0.41%,2921283
725,726,TTE,0.82,1.19,-1.62%,-4.95%,-0.36%,-10.78%,32.38%,43.46,58.04,-1.17%,-0.74%,-0.44%,1517747
726,727,TTWO,0.67,2.77,1.54%,7.70%,19.69%,-2.34%,54.04%,64.92,138.64,1.05%,0.25%,0.80%,2375485
727,728,TU,0.76,0.27,0.56%,-3.93%,-5.21%,-17.65%,3.45%,47.71,19.5,1.30%,1.04%,0.26%,2264683
728,729,TW,0.97,1.91,1.60%,-0.07%,6.00%,-11.49%,37.54%,51.69,70.79,-0.59%,-0.18%,-0.41%,1337179
729,730,TWLO,1.40,3.06,7.64%,17.29%,12.16%,-33.63%,65.00%,62.04,67.65,-0.62%,-1.74%,1.15%,3283058
730,731,TXN,1.00,3.67,2.26%,3.13%,3.63%,-5.12%,22.36%,58.46,176.76,-0.75%,-1.50%,0.76%,10168802
731,732,TXT,1.48,1.27,3.80%,1.39%,-1.67%,-12.44%,16.69%,58.58,66.64,0.32%,-0.40%,0.72%,2970835
732,733,TYL,0.82,8.02,0.11%,2.88%,14.31%,-7.52%,40.09%,54.63,393.8,-0.20%,-1.30%,1.11%,776887
733,734,U,-,2.45,29.52%,40.55%,33.02%,-27.40%,100.57%,77.06,42.56,2.14%,-0.14%,2.28%,32789081
734,735,UAL,1.43,1.37,8.97%,16.17%,22.32%,-2.80%,69.41%,77.21,53.5,-0.15%,0.00%,-0.15%,6804471
735,736,UBER,1.22,1.24,9.76%,20.29%,39.34%,-0.53%,118.75%,72.96,43.52,0.37%,1.09%,-0.71%,27938167
736,737,UBS,1.11,0.34,2.23%,1.64%,9.21%,-7.86%,49.82%,57.16,20.41,-0.05%,-0.73%,0.69%,2524973
737,738,UDR,0.76,0.77,5.89%,6.05%,5.97%,-14.27%,16.78%,71.52,43.42,0.91%,0.37%,0.53%,3777969
738,739,UHS,1.27,4.18,10.11%,8.26%,17.34%,-3.90%,80.15%,71.83,148.62,0.55%,-0.79%,1.36%,1485098
739,740,UI,1.29,5.83,9.69%,-8.82%,-30.49%,-46.87%,16.08%,55.08,186.3,-0.40%,-1.38%,0.99%,150837
740,741,UL,0.45,0.57,2.06%,-2.00%,4.70%,-7.25%,22.36%,54.99,51.93,1.07%,0.04%,1.03%,2911364
741,742,ULTA,1.33,12.6,1.10%,-9.31%,-5.11%,-19.53%,24.22%,46.06,447.91,-0.72%,-1.48%,0.77%,1864711
742,743,UMC,1.28,0.18,4.90%,6.53%,17.39%,-2.45%,63.25%,61.33,8.75,-1.91%,-1.35%,-0.56%,9943340
743,744,UNH,0.66,11.51,-5.27%,-6.72%,-8.99%,-17.85%,2.87%,34.62,458.49,-1.59%,-1.64%,0.05%,7653910
744,745,UNP,1.1,3.98,3.49%,3.37%,0.43%,-15.55%,11.42%,61.71,204.67,-0.61%,-0.82%,0.22%,4136995
745,746,UPS,1.09,3.19,4.56%,0.60%,-0.05%,-14.71%,15.31%,61.2,178.58,-0.23%,-0.83%,0.60%,8463807
746,747,URI,1.85,13.45,10.40%,11.66%,11.77%,-16.37%,74.85%,65.43,403.09,-1.68%,-2.26%,0.60%,1132909
747,748,USB,0.98,1.22,6.07%,4.17%,-17.99%,-33.03%,22.66%,58.69,33.45,0.48%,-0.12%,0.60%,30107769
748,749,UTHR,0.62,4.77,5.18%,4.05%,-3.40%,-18.66%,14.19%,63.66,230.26,0.29%,0.11%,0.18%,658765
749,750,V,0.96,4.01,1.35%,0.05%,6.88%,-2.83%,31.11%,54.21,228.91,1.21%,1.09%,0.12%,13291117
750,751,VALE,0.92,0.37,6.09%,1.85%,-4.68%,-25.22%,23.65%,58.77,14.44,-0.21%,0.77%,-0.97%,20756653
751,752,VEEV,0.96,5.69,10.94%,11.76%,15.59%,-13.87%,32.47%,67.49,200.05,-0.63%,-1.21%,0.59%,1509124
752,753,VICI,0.96,0.52,2.46%,0.38%,-0.42%,-9.39%,14.60%,55.85,32.34,-0.61%,-1.37%,0.77%,7535957
753,754,VIPS,0.53,0.71,11.67%,15.10%,37.98%,-3.73%,179.72%,64.46,17.79,-2.95%,-3.26%,0.33%,6414563
754,755,VIV,0.55,0.21,5.76%,8.98%,17.74%,-2.65%,40.05%,62.38,8.99,-2.07%,-0.33%,-1.74%,4340727
755,756,VLO,1.64,3.47,2.35%,-1.60%,-7.93%,-24.06%,17.83%,53.21,114.21,0.16%,-0.29%,0.45%,9936576
756,757,VMC,0.74,3.25,3.20%,10.49%,17.66%,-1.00%,50.73%,72.3,207.31,-0.78%,-1.01%,0.23%,1258642
757,758,VMW,0.72,3.08,6.30%,10.50%,18.02%,-0.80%,36.51%,69.1,141.36,-0.72%,-1.04%,0.32%,3006736
758,759,VOD,0.76,0.24,-2.29%,-11.75%,-16.11%,-40.55%,5.21%,37.91,9.47,-0.11%,0.00%,-0.11%,4151841
759,760,VRSK,0.85,3.7,2.25%,8.06%,20.47%,-0.50%,43.88%,66.37,224.52,-0.02%,-0.56%,0.54%,4246538
760,761,VRSN,0.99,3.57,-0.13%,1.49%,10.66%,-2.62%,44.08%,52.53,223.69,-0.45%,-0.92%,0.47%,1050686
761,762,VRTX,0.51,7.07,4.06%,3.63%,12.61%,-1.85%,41.81%,62.4,347.89,-0.34%,-0.60%,0.26%,2613300
762,763,VTR,1.21,1.09,3.13%,1.70%,1.77%,-14.84%,30.43%,55.05,46.08,-0.11%,-0.52%,0.41%,2974702
763,764,VTRS,1.19,0.25,9.70%,8.69%,0.33%,-17.01%,22.21%,70.24,10.29,3.52%,2.90%,0.60%,23640566
764,765,VZ,0.35,0.62,2.78%,-1.61%,-5.13%,-30.13%,8.13%,55.39,36.46,0.05%,-0.16%,0.22%,36072184
765,766,WAB,1.48,1.97,6.29%,5.54%,6.56%,-3.91%,32.43%,66.93,103.64,1.37%,0.52%,0.84%,2174887
766,767,WAT,0.86,6.7,3.72%,-4.02%,-12.16%,-27.05%,8.47%,53.29,269.2,0.41%,-0.73%,1.16%,1648333
767,768,WBA,0.73,0.76,4.84%,-0.55%,-7.59%,-23.56%,10.82%,58.7,32.67,2.03%,2.64%,-0.59%,16013422
768,769,WBD,1.53,0.63,3.40%,-1.83%,-0.16%,-27.48%,45.12%,49.81,12.8,-2.51%,-2.22%,-0.30%,46108592
769,770,WCN,0.66,2.17,0.12%,-1.61%,0.55%,-7.19%,21.18%,48.57,137.54,0.08%,-0.25%,0.33%,934625
770,771,WDAY,1.26,6.31,7.30%,13.67%,27.35%,-1.04%,72.78%,67.96,222.4,-0.85%,-1.30%,0.46%,3312226
771,772,WDC,1.67,1.19,2.88%,10.86%,9.75%,-20.57%,36.13%,61.07,40.47,-1.48%,-2.29%,0.83%,5538206
772,773,WDS,-,0.56,7.27%,8.49%,5.87%,-8.17%,29.41%,66.99,24.73,2.91%,1.44%,1.46%,1078992
773,774,WEC,0.41,1.63,3.07%,-1.67%,-2.35%,-15.50%,13.13%,55.96,91.43,-0.16%,-0.47%,0.31%,1965530
774,775,WELL,1.05,1.68,3.95%,4.71%,13.39%,-7.39%,42.32%,60.2,80.41,0.32%,-0.20%,0.52%,11636337
775,776,WES,2.66,0.69,3.59%,3.86%,2.71%,-5.72%,25.33%,61.55,27.15,0.11%,0.18%,-0.07%,2806118
776,777,WFC,1.13,1.08,2.29%,5.12%,-1.42%,-13.64%,19.66%,57.84,42.18,-0.42%,-1.01%,0.59%,36399112
777,778,WIT,0.82,0.08,-2.31%,0.46%,-1.83%,-15.70%,8.10%,43.43,4.67,-0.64%,1.30%,-1.91%,3247138
778,779,WLK,1.25,3.48,1.72%,0.35%,6.39%,-9.20%,41.11%,52.28,114.7,-0.85%,0.04%,-0.89%,676610
779,780,WM,0.72,2.12,1.22%,0.04%,2.85%,-6.22%,18.82%,55.49,165.03,0.51%,-0.04%,0.55%,2417208
780,781,WMB,1.19,0.65,2.36%,2.55%,-2.23%,-14.70%,9.82%,55.93,30.53,-0.13%,-0.52%,0.39%,14128112
781,782,WMG,-,0.86,8.03%,-2.03%,-9.15%,-29.92%,25.92%,60.74,27.16,1.12%,0.44%,0.67%,2024042
782,783,WMT,0.51,1.97,3.46%,3.19%,8.36%,-1.71%,31.84%,64.75,155.53,-1.39%,-1.61%,0.22%,11531691
783,784,WPC,0.79,1.1,1.12%,-1.44%,-9.02%,-21.52%,5.36%,48.54,70.34,0.13%,-0.34%,0.47%,1728071
784,785,WPM,0.57,1.18,-1.49%,-7.17%,9.06%,-14.95%,56.78%,40.22,44.87,0.43%,-0.22%,0.65%,3414523
785,786,WPP,1.35,0.96,2.81%,-0.40%,6.65%,-12.11%,41.95%,56.16,56.31,0.88%,0.37%,0.50%,345666
786,787,WRB,0.62,1.12,3.65%,0.70%,-10.53%,-22.47%,6.81%,59.53,59.28,1.51%,0.94%,0.57%,3783795
787,788,WSO,0.91,8.09,7.80%,9.73%,25.69%,-0.32%,66.11%,72.11,366.58,-0.17%,-0.23%,0.06%,461141
788,789,WST,1.09,7.55,4.36%,1.94%,25.11%,-3.90%,75.59%,62.39,362.04,0.62%,-1.31%,1.95%,1129299
789,790,WTRG,0.78,0.82,1.28%,-1.90%,-7.02%,-20.97%,7.61%,49.91,41.43,-0.50%,-0.93%,0.43%,2128171
790,791,WTW,0.77,3.6,4.65%,2.30%,1.98%,-9.24%,25.07%,66.85,235.0,1.00%,-0.35%,1.36%,1719948
791,792,WY,1.48,0.6,5.98%,4.08%,1.91%,-14.79%,16.35%,68.13,31.0,0.78%,-0.13%,0.91%,15280621
792,793,WYNN,2.03,2.96,0.87%,-3.37%,14.41%,-11.99%,106.63%,48.66,103.73,-0.80%,-1.49%,0.70%,2265369
793,794,XEL,0.43,1.31,-0.60%,-5.40%,-5.79%,-17.69%,12.36%,43.3,63.92,-0.62%,-0.79%,0.17%,6368672
794,795,XM,-,0.04,0.13%,0.54%,29.02%,-0.39%,93.88%,61.54,18.07,0.11%,0.06%,0.06%,4475947
795,796,XOM,1.07,2.46,-0.65%,-4.22%,-2.00%,-12.33%,30.29%,44.75,105.13,-0.72%,-1.30%,0.59%,43103014
796,797,XP,1.59,0.83,16.31%,38.65%,36.17%,-12.53%,114.85%,76.84,22.13,1.24%,2.60%,-1.33%,4860742
797,798,XPEV,-,0.65,27.09%,19.05%,12.80%,-67.81%,84.14%,69.28,11.38,-1.81%,-3.97%,2.24%,17459063
798,799,XYL,1.10,2.23,7.77%,8.44%,9.90%,-4.33%,57.38%,73.12,113.44,0.09%,-0.10%,0.19%,3473229
799,800,YPF,1.53,0.57,23.88%,25.53%,51.53%,8.10%,415.96%,80.69,14.55,8.18%,7.78%,0.37%,4696623
800,801,YUM,1.02,2.11,3.82%,2.22%,9.80%,-3.26%,33.29%,61.67,138.58,-0.45%,-0.75%,0.31%,3747820
801,802,YUMC,0.54,1.3,1.18%,-2.29%,5.74%,-8.19%,53.95%,49.53,59.4,0.44%,-1.00%,1.45%,2503321
802,803,Z,-,1.61,1.81%,2.85%,19.09%,-5.35%,78.56%,53.75,46.68,-3.07%,-3.61%,0.56%,10275926
803,804,ZBH,1.03,2.77,8.64%,7.09%,17.14%,-3.45%,43.54%,74.91,144.1,1.07%,0.04%,1.02%,2812522
804,805,ZBRA,1.66,7.81,3.26%,0.97%,0.42%,-22.84%,25.59%,55.09,282.4,-0.76%,-1.59%,0.85%,636690
805,806,ZG,1.69,1.55,1.70%,2.79%,18.56%,-5.61%,74.57%,53.63,45.76,-2.95%,-3.62%,0.70%,432473
806,807,ZI,-,1.21,4.36%,14.80%,-10.05%,-48.28%,31.92%,57.83,26.82,-5.56%,0.26%,-5.81%,58345498
807,808,ZM,-0.22,2.57,3.57%,5.58%,-3.49%,-43.52%,15.90%,58.35,70.06,0.17%,-0.09%,0.26%,4728349
808,809,ZS,0.87,6.43,9.65%,30.73%,18.82%,-20.70%,81.34%,69.48,154.01,-2.73%,-3.88%,1.19%,3207002
809,810,ZTO,0.05,0.76,0.66%,-1.39%,6.96%,-8.62%,70.98%,50.41,27.46,-1.79%,-1.12%,-0.68%,5890676
810,811,ZTS,0.77,3.86,1.23%,-1.71%,6.42%,-9.09%,37.53%,51.16,170.74,-0.40%,-1.05%,0.66%,3285481
