,No.,Ticker,Market Cap,Dividend,ROA,ROE,ROI,Curr R,Quick R,LTDebt/Eq,Debt/Eq,Gross M,Oper M,Profit M,Earnings,Price,Change,Volume
173,174,CNHI,19.90B,2.74%,5.80%,33.00%,11.20%,-,-,3.22,3.22,29.40%,18.00%,9.00%,May 05/b,14.53,-0.21%,4575350
174,175,CNI,79.55B,1.99%,10.70%,25.20%,14.10%,0.70,0.60,0.69,0.80,72.90%,41.10%,30.60%,Apr 24/a,118.95,0.84%,1637766
175,176,CNP,18.47B,2.60%,2.20%,8.60%,5.60%,1.00,0.70,1.65,1.73,-,17.50%,8.60%,Apr 27/b,29.18,-0.31%,6640359
176,177,CNQ,61.57B,4.95%,12.60%,25.00%,23.40%,0.80,0.60,0.32,0.35,53.60%,32.70%,23.90%,May 04/a,55.01,-1.06%,1546003
177,178,COF,42.63B,2.18%,1.20%,11.70%,20.10%,-,-,0.97,0.97,-,58.30%,16.40%,Apr 27/a,110.07,-1.42%,4275906
178,179,COIN,12.73B,-,-2.00%,-40.30%,-25.60%,1.00,1.00,0.60,0.60,84.00%,-81.40%,-81.20%,May 11/b,55.59,2.47%,13699144
179,180,COO,18.20B,0.02%,2.50%,4.00%,4.20%,1.70,0.90,0.35,0.36,65.30%,14.30%,8.40%,Jun 01/a,367.41,-0.04%,628289
180,181,COP,126.03B,5.04%,17.00%,32.50%,26.10%,1.40,1.30,0.32,0.35,46.30%,30.90%,21.00%,May 04/b,104.92,0.74%,9904786
181,182,COST,234.51B,0.78%,9.10%,27.10%,20.40%,1.10,0.60,0.28,0.28,12.10%,3.30%,2.50%,May 25/a,523.65,-1.05%,3140937
182,183,COTY,10.62B,-,1.50%,5.40%,1.00%,0.70,0.40,1.17,1.19,63.90%,6.30%,3.40%,May 09/b,12.44,-0.08%,6694373
183,184,CP,96.36B,0.97%,5.10%,9.80%,4.60%,0.70,0.60,0.46,0.48,81.40%,39.20%,40.30%,Apr 26/a,78.52,0.11%,1816780
184,185,CPB,13.84B,3.19%,6.50%,22.50%,11.60%,0.90,0.40,1.25,1.33,30.50%,13.00%,8.50%,Jun 07/b,46.42,-0.04%,3679510
185,186,CPNG,30.19B,-,2.30%,9.00%,-3.40%,1.20,0.90,0.20,0.35,23.90%,0.90%,1.00%,May 09/a,17.28,1.83%,9375071
186,187,CPRT,41.59B,-,19.90%,22.80%,23.90%,5.90,5.80,0.00,0.00,44.20%,37.40%,30.70%,May 17/a,87.28,0.20%,4188973
187,188,CPT,11.97B,3.54%,-,-,7.20%,-,-,0.76,0.00,62.80%,-,-,Apr 27/a,113.11,0.86%,1257790
188,189,CQP,22.78B,6.59%,-,-,-,-,-,-,-,-,-,-,May 02/b,47.07,2.73%,592169
189,190,CRBG,10.83B,5.59%,1.20%,41.90%,36.40%,-,-,0.91,1.04,-,28.30%,19.30%,May 09/b,16.47,-1.44%,2869032
190,191,CRH,38.16B,2.39%,8.60%,18.70%,9.50%,1.70,1.20,0.42,0.51,33.20%,11.90%,11.80%,-,53.14,0.78%,1746004
191,192,CRL,10.69B,-,6.60%,17.50%,9.50%,1.50,1.20,0.88,0.88,36.70%,19.40%,12.10%,May 11/b,209.99,0.49%,667462
192,193,CRM,206.41B,-,0.40%,0.60%,0.10%,1.00,1.00,0.16,0.17,73.80%,2.40%,1.20%,May 31/a,211.76,-0.08%,13661531
193,194,CRWD,37.89B,-,-3.20%,-10.80%,-9.60%,1.80,1.80,0.46,0.46,73.70%,-7.60%,-6.20%,May 31/a,155.14,-2.92%,6340498
194,195,CSCO,211.62B,3.00%,12.10%,28.00%,22.90%,1.40,1.30,0.16,0.20,62.00%,25.90%,20.90%,May 17/a,52.07,0.27%,37112242
195,196,CSGP,34.35B,-,4.50%,5.60%,4.20%,13.20,13.20,0.14,0.14,80.60%,17.50%,16.30%,Apr 25/a,84.14,0.08%,7613417
196,197,CSL,12.26B,1.25%,11.20%,27.70%,17.90%,2.30,1.50,0.75,0.84,32.20%,18.20%,13.30%,Apr 27/a,239.58,-0.37%,979992
197,198,CSX,68.23B,1.32%,10.30%,33.70%,15.60%,1.40,1.30,1.45,1.45,71.20%,41.00%,28.40%,Apr 20/a,33.21,-1.04%,30031174
198,199,CTAS,50.07B,0.94%,16.20%,39.60%,21.70%,2.10,1.70,0.68,0.75,46.80%,20.60%,15.70%,Mar 29/b,491.36,-0.21%,625449
199,200,CTRA,19.00B,8.33%,20.30%,32.90%,27.80%,1.70,1.60,0.17,0.17,88.40%,58.10%,45.10%,May 04/a,25.21,0.52%,21771520
200,201,CTSH,32.85B,1.78%,13.10%,18.90%,17.30%,2.20,2.20,0.05,0.05,35.60%,15.20%,11.90%,May 03/a,65.08,0.53%,5836794
201,202,CTVA,41.00B,1.05%,2.80%,4.60%,5.20%,1.40,0.90,0.05,0.20,40.90%,10.00%,6.60%,May 03/a,57.23,-0.78%,10088758
202,203,CUK,20.03B,-,-13.60%,-83.70%,-10.60%,0.70,0.70,4.52,4.89,15.80%,-36.30%,-47.50%,-,14.22,-1.46%,2442347
203,204,CVE,32.37B,2.52%,9.80%,20.20%,22.20%,1.60,0.90,0.41,0.42,49.00%,12.90%,8.60%,Apr 26/b,16.65,-1.83%,7694540
204,205,CVS,89.10B,3.57%,1.70%,5.50%,5.10%,0.90,0.70,0.79,0.82,38.70%,2.30%,1.20%,May 03/b,67.72,-2.56%,18190479
205,206,CVX,297.71B,3.84%,13.90%,22.70%,15.20%,1.40,1.20,0.13,0.15,38.80%,18.40%,15.40%,Apr 28/b,157.26,-0.64%,22851275
206,207,CX,11.11B,-,-,-,4.70%,0.90,0.60,0.64,0.67,31.20%,-,-,May 02/b,7.2,-1.37%,7170956
207,208,CZR,10.81B,-,-1.00%,-9.60%,5.80%,0.80,0.80,7.10,7.12,51.10%,18.20%,-3.10%,May 02/a,48.84,-2.75%,3795437
208,209,D,44.20B,5.01%,1.10%,4.50%,2.10%,0.80,0.60,1.51,1.81,99.70%,11.40%,6.60%,May 05/b,53.33,0.87%,9863989
209,210,DAL,27.56B,0.93%,2.60%,35.70%,10.00%,0.50,0.40,3.17,3.51,44.90%,7.50%,3.50%,Apr 13/b,42.79,-0.21%,12204599
210,211,DAR,10.29B,-,8.00%,19.70%,12.30%,1.70,1.00,1.13,1.16,23.10%,15.10%,10.60%,May 09/a,65.12,0.95%,2068010
211,212,DASH,27.88B,-,-14.00%,-19.80%,-16.20%,1.70,1.70,0.00,0.00,45.60%,-15.70%,-19.00%,May 04/a,73.26,2.09%,3657957
212,213,DB,21.29B,3.10%,0.40%,7.40%,4.70%,-,-,2.92,2.92,-,43.60%,17.40%,-,10.42,-1.79%,3683169
213,214,DD,32.00B,2.07%,13.20%,21.70%,3.90%,3.30,2.60,0.29,0.30,35.20%,14.20%,44.20%,May 02/b,69.41,-0.43%,7874417
214,215,DDOG,31.61B,-,-2.90%,-6.20%,-3.30%,3.20,3.20,0.49,0.49,79.30%,-5.80%,-4.70%,May 04/b,95.75,-2.48%,4338584
215,216,DE,119.19B,1.23%,9.80%,43.10%,11.00%,-,-,1.59,2.59,35.80%,22.60%,15.00%,May 19/b,407.63,0.27%,2118653
216,217,DECK,13.39B,-,20.00%,31.70%,28.50%,3.80,2.80,0.00,0.00,50.30%,18.00%,14.20%,May 25/a,512.72,0.14%,490384
217,218,DELL,36.51B,2.98%,2.20%,-62.60%,15.40%,0.80,0.70,-,-,22.60%,4.50%,2.00%,Jun 01/a,49.67,-1.06%,9351738
218,219,DEO,95.59B,2.10%,10.20%,47.00%,13.60%,1.60,0.80,1.88,2.16,60.70%,28.50%,21.20%,-,173.46,-0.25%,590539
219,220,DFS,29.78B,2.43%,3.20%,30.60%,21.70%,-,-,1.23,1.37,-,58.70%,28.40%,Apr 19/a,115.32,-1.65%,5916613
220,221,DG,35.90B,1.44%,8.20%,40.00%,20.90%,1.30,0.10,1.18,1.23,31.30%,8.60%,6.20%,Jun 01/b,164.32,0.39%,4779634
221,222,DGX,15.37B,2.05%,6.00%,12.80%,11.70%,1.30,1.20,0.66,0.66,34.10%,12.70%,8.20%,Apr 27/b,138.6,1.02%,2672989
222,223,DHI,39.36B,0.86%,17.20%,26.50%,23.20%,-,-,0.18,0.29,29.10%,20.10%,15.40%,Apr 20/b,116.4,0.86%,6316988
223,224,DHR,179.69B,0.45%,8.20%,14.50%,11.20%,1.90,1.50,0.37,0.40,60.10%,26.80%,22.10%,Apr 25/b,241.8,-0.70%,6380330
224,225,DIS,169.83B,-,2.00%,4.30%,3.30%,1.00,0.90,0.46,0.50,33.00%,8.10%,4.70%,May 10/a,91.32,-1.74%,22641615
225,226,DKNG,11.47B,-,-32.40%,-94.40%,-56.10%,1.50,1.50,1.23,1.23,34.70%,-53.50%,-50.40%,May 04/a,24.51,-1.29%,14098348
226,227,DKS,11.65B,2.96%,12.00%,44.60%,27.60%,2.00,0.80,0.55,0.55,34.60%,11.40%,8.70%,May 23/b,135.1,0.02%,1463642
227,228,DLR,30.71B,4.64%,0.80%,2.00%,1.50%,-,-,1.08,1.08,59.20%,12.80%,6.80%,Apr 27/a,105.18,-0.20%,4568562
228,229,DLTR,30.51B,-,6.00%,16.10%,14.30%,1.50,0.30,0.38,0.00,30.70%,6.70%,4.80%,May 25/b,136.22,-1.60%,2591443
229,230,DOCU,10.98B,-,-2.40%,-12.40%,-7.10%,0.80,0.80,0.00,0.97,79.10%,-2.80%,-2.70%,Jun 08/a,53.85,-0.79%,5750262
230,231,DOV,20.57B,1.37%,9.90%,24.90%,14.50%,1.30,0.80,0.66,0.78,36.10%,16.30%,12.50%,Apr 26/b,147.73,0.44%,1529268
231,232,DOW,37.83B,5.27%,4.80%,14.90%,11.60%,1.80,1.20,0.73,0.76,12.90%,6.90%,5.40%,Apr 25/b,53.16,-0.60%,9530598
232,233,DOX,11.63B,1.78%,8.20%,14.90%,13.80%,1.60,1.60,0.18,0.18,35.60%,14.20%,11.20%,May 10/a,97.6,0.95%,926017
233,234,DPZ,11.50B,1.46%,28.40%,-11.10%,77.70%,1.50,1.40,-,-,36.60%,17.20%,10.20%,Apr 27/b,331.41,1.83%,2064234
234,235,DRI,20.18B,2.92%,9.40%,45.60%,24.80%,0.50,0.30,0.97,0.98,19.60%,11.30%,9.20%,Jun 22/b,166.01,-0.51%,1926328
235,236,DT,15.23B,-,4.30%,7.40%,7.30%,1.10,1.10,0.00,0.00,80.80%,8.00%,9.30%,May 17/b,51.21,-2.18%,3588547
236,237,DTE,23.48B,3.34%,2.70%,11.70%,5.80%,0.90,0.70,1.66,1.83,-,10.00%,6.10%,Apr 27/b,114.12,0.18%,4874008
237,238,DUK,70.66B,4.36%,1.40%,5.00%,4.60%,0.80,0.50,1.46,1.61,63.90%,22.20%,8.30%,May 09/b,92.18,0.53%,8690182
238,239,DVN,31.83B,9.06%,25.40%,55.40%,34.90%,1.10,1.00,0.59,0.61,56.00%,41.70%,31.10%,May 08/a,49.8,0.40%,16246841
239,240,DXCM,50.77B,-,5.60%,13.90%,8.20%,2.00,1.80,0.56,0.91,64.90%,13.10%,9.70%,Apr 27/a,130.1,-0.67%,4306193
240,241,E,48.22B,6.49%,9.30%,26.90%,11.40%,1.40,1.20,0.44,0.58,34.60%,12.40%,11.60%,-,28.43,-0.56%,834863
241,242,EA,35.18B,0.59%,6.00%,10.60%,8.80%,1.20,1.20,0.26,0.26,76.00%,17.90%,10.80%,May 09/a,128.66,-0.26%,3122195
242,243,EBAY,24.39B,2.22%,3.20%,12.40%,19.10%,2.70,2.70,1.43,1.43,72.60%,22.60%,6.50%,Apr 26/a,45.06,-1.23%,8588093
243,244,EBR,18.91B,0.55%,-,-,-,-,-,-,-,-,-,-,-,8.01,-3.03%,3037527
244,245,EBR-B,18.91B,3.33%,-,-,-,-,-,-,-,-,-,-,-,8.95,-5.29%,221753
245,246,EC,21.18B,15.92%,11.20%,41.10%,20.90%,1.10,1.00,1.38,1.60,43.10%,36.80%,19.50%,May 09/a,10.45,0.19%,1365594
246,247,ECL,51.88B,1.16%,5.40%,16.10%,8.70%,1.20,0.80,1.02,1.18,38.30%,11.80%,8.00%,May 02/b,182.04,-0.10%,2509734
247,248,ED,32.24B,3.48%,3.80%,12.10%,4.80%,1.20,1.10,0.99,1.04,75.20%,22.30%,15.60%,May 04/a,92.97,-0.05%,4677104
248,249,EDR,10.74B,-,-1.50%,-9.40%,24.30%,1.00,1.00,2.50,2.54,61.10%,10.40%,-3.40%,May 09/a,22.33,-1.11%,2333094
249,250,EFX,28.50B,0.68%,5.10%,15.10%,8.50%,0.80,0.80,1.23,1.43,56.40%,18.40%,11.60%,Apr 19/a,229.77,-1.13%,1373090
250,251,EIX,26.35B,4.20%,1.10%,6.30%,3.60%,0.90,0.80,2.15,2.44,61.30%,10.70%,5.00%,May 02/a,70.18,2.01%,3756051
251,252,EL,71.27B,1.29%,5.20%,19.10%,23.10%,1.50,1.10,0.87,1.25,72.10%,10.00%,6.90%,May 03/b,203.95,2.28%,5233445
252,253,ELS,12.67B,2.61%,5.20%,19.60%,8.30%,-,-,2.35,2.35,49.50%,28.30%,19.60%,Apr 17/a,68.7,0.94%,1457025
253,254,ELV,107.08B,1.34%,6.00%,17.10%,11.40%,-,-,0.67,0.68,-,5.60%,3.90%,Apr 19/b,443.21,-1.89%,2485995
254,255,EMR,50.31B,2.38%,13.20%,44.80%,14.20%,1.20,0.90,0.72,0.89,44.80%,19.20%,27.40%,May 03/b,87.41,-0.70%,5519605
255,256,ENB,75.39B,6.99%,1.30%,4.30%,3.50%,0.60,0.50,1.31,1.47,42.50%,12.90%,4.80%,May 05/b,37.48,0.62%,3618921
256,257,ENPH,24.74B,-,17.00%,68.90%,18.60%,3.40,3.20,1.24,1.33,43.00%,21.20%,18.80%,Apr 25/a,181.81,0.72%,4622896
257,258,ENTG,16.41B,0.38%,-0.10%,-0.20%,4.90%,3.10,2.10,1.78,1.83,41.90%,9.10%,-0.10%,May 11/b,106.51,-2.85%,3172118
258,259,EOG,65.33B,2.91%,23.30%,39.00%,26.20%,2.20,1.90,0.15,0.15,65.20%,43.40%,34.00%,May 04/a,113.41,1.53%,6109452
259,260,EPAM,13.19B,-,11.20%,15.00%,16.00%,4.10,4.10,0.01,0.00,30.90%,11.60%,8.90%,May 05/b,219.51,-3.66%,1465093
260,261,EPD,57.23B,7.43%,8.10%,21.00%,12.40%,0.90,0.70,1.02,1.07,18.00%,12.10%,9.60%,May 02/b,26.39,0.27%,3729158
261,262,EQIX,72.91B,1.75%,2.70%,7.20%,4.10%,2.30,2.30,1.29,1.30,49.00%,17.50%,10.80%,May 03/a,778.61,-0.13%,904142
262,263,EQNR,97.43B,10.95%,18.90%,59.50%,33.60%,2.00,1.90,0.43,0.54,63.80%,51.30%,20.40%,May 04/b,30.13,-2.02%,4548741
263,264,EQR,25.14B,3.97%,4.50%,8.30%,6.00%,-,-,0.66,0.66,64.00%,45.40%,32.80%,Apr 25/a,66.72,0.56%,3799493
264,265,EQT,14.09B,1.51%,19.90%,42.90%,12.00%,1.50,1.50,0.42,0.45,77.70%,56.70%,42.00%,Apr 26/a,39.64,1.77%,11567296
265,266,ERIC,17.97B,4.49%,5.00%,13.00%,12.20%,1.10,0.80,0.22,0.34,41.30%,9.10%,6.20%,Jul 14/b,5.43,0.18%,9769865
266,267,ERIE,11.38B,2.19%,14.30%,22.50%,20.60%,1.30,1.30,0.00,0.00,13.80%,13.70%,10.80%,Apr 27/a,216.99,-0.33%,180786
267,268,ES,24.77B,3.75%,2.80%,9.40%,4.50%,0.60,0.60,1.33,1.51,-,18.20%,11.60%,May 04/b,72.08,1.51%,4268061
268,269,ESS,15.07B,3.90%,3.90%,8.50%,-,-,-,1.05,1.05,71.20%,41.10%,29.80%,Apr 27/a,236.92,0.90%,728773
269,270,ET,39.76B,9.59%,3.90%,15.50%,10.00%,1.10,0.90,1.74,1.74,20.00%,9.00%,4.70%,May 02/a,12.82,-0.16%,9260684
270,271,ETN,78.48B,1.80%,7.30%,15.30%,10.20%,1.50,0.90,0.50,0.50,33.60%,15.00%,12.00%,May 02/b,191.26,-2.86%,6246828
271,272,ETR,21.61B,4.20%,1.90%,9.10%,5.30%,0.90,0.70,1.87,2.11,87.90%,14.00%,8.20%,Apr 26/b,102.01,-0.18%,3772342
272,273,ETSY,11.84B,-,-25.20%,253.80%,-37.30%,2.70,2.70,-,-,70.80%,-25.30%,-26.90%,May 03/a,94.6,-1.43%,4232949
273,274,EVRG,13.69B,4.13%,2.60%,8.20%,5.70%,0.50,0.30,1.06,1.30,-,21.80%,13.00%,May 05/b,59.31,-0.50%,2716179
274,275,EW,55.34B,-,17.50%,24.90%,23.50%,3.00,2.20,0.10,0.10,79.80%,30.90%,27.10%,Apr 26/a,91.94,0.71%,6594329
275,276,EXAS,16.85B,-,-8.20%,-16.60%,-11.00%,3.00,2.60,0.77,0.78,72.90%,-22.40%,-23.50%,May 09/a,93.42,0.03%,2269490
276,277,EXC,40.60B,3.49%,2.40%,9.10%,4.60%,1.00,0.90,1.56,1.67,66.90%,18.20%,11.60%,May 03/b,41.21,0.96%,9590593
277,278,EXPD,18.22B,1.16%,19.90%,37.30%,43.40%,2.40,2.40,0.00,0.00,28.10%,10.90%,8.20%,May 02/b,118.83,-0.37%,3246628
278,279,EXPE,15.87B,-,1.40%,15.90%,11.10%,0.80,0.80,3.41,0.00,85.90%,10.30%,2.70%,May 04/a,105.87,-1.16%,3788663
279,280,EXR,19.69B,4.46%,7.20%,26.30%,9.60%,-,-,2.25,2.25,75.60%,54.40%,43.00%,May 02/a,145.28,-0.34%,1572912
280,281,F,57.81B,4.16%,1.10%,6.70%,3.90%,1.20,1.00,2.15,3.29,10.70%,4.20%,1.70%,May 02/a,14.42,-0.21%,75215766
281,282,FANG,22.94B,7.60%,-,-,24.60%,0.60,0.60,0.45,0.45,82.90%,-,-,May 01/a,128.74,1.64%,4052750
282,283,FAST,32.11B,2.47%,24.30%,34.80%,29.60%,3.70,1.70,0.06,0.12,45.90%,20.90%,15.60%,Jul 13/b,56.58,0.60%,6521724
283,284,FCNCA,19.99B,0.23%,7.60%,89.80%,15.40%,-,-,2.46,2.46,-,55.80%,-,May 10/b,1282.99,-1.21%,182279
284,285,FCNCO,19.66B,6.93%,-,-,-,-,-,-,-,-,-,-,-,20.3,-1.00%,8366
285,286,FCNCP,19.76B,6.81%,-,-,-,-,-,-,-,-,-,-,-,19.74,0.41%,6075
286,287,FCX,57.45B,0.75%,5.10%,16.90%,18.30%,2.80,1.70,0.60,0.60,30.40%,27.20%,12.00%,Apr 21/b,39.89,-0.47%,16104764
287,288,FDS,16.18B,0.93%,11.20%,31.50%,12.90%,2.10,2.10,1.08,1.08,53.60%,28.40%,22.30%,Jun 22/b,420.91,-0.33%,512862
288,289,FDX,59.43B,2.16%,3.50%,12.10%,11.40%,1.30,1.30,0.81,0.82,68.40%,5.80%,3.20%,Jun 20/a,233.46,-1.26%,3246718
289,290,FE,22.40B,3.99%,0.90%,3.90%,2.50%,0.70,0.60,2.16,2.22,67.60%,14.50%,3.20%,Apr 27/a,39.07,-0.10%,6885722
290,291,FERG,31.08B,2.12%,12.20%,39.20%,25.70%,1.70,0.90,0.81,0.82,30.30%,9.00%,6.30%,Jun 06/b,151.07,-0.53%,2121886
291,292,FI,74.29B,-,3.10%,7.90%,6.10%,1.10,1.10,0.73,0.74,55.80%,21.10%,13.40%,Apr 25/b,119.96,-0.32%,6416508
292,293,FICO,20.05B,-,26.20%,-47.60%,42.30%,1.40,1.40,-,-,77.70%,40.40%,26.90%,Apr 27/a,799.96,-0.27%,262831
293,294,FIS,32.02B,3.80%,-23.70%,-45.70%,-34.80%,0.70,0.70,0.51,0.74,39.90%,-,-,Apr 27/b,54.78,1.35%,6073957
294,295,FITB,18.22B,4.97%,1.20%,15.20%,15.20%,-,-,0.79,0.79,-,69.90%,31.80%,Apr 20/b,26.54,-0.82%,11155224
295,296,FIVE,10.83B,-,8.20%,20.90%,19.00%,1.80,0.90,0.00,0.00,35.50%,10.90%,8.40%,Jun 01/a,190.43,-2.16%,534700
296,297,FLEX,11.93B,-,3.80%,17.50%,13.50%,1.50,0.80,0.69,0.72,7.50%,3.90%,2.60%,May 10/a,26.77,-0.30%,3750427
297,298,FLT,18.05B,-,6.60%,36.80%,11.70%,1.00,1.00,1.63,2.36,-,42.50%,26.90%,May 03/a,243.63,-0.34%,672390
298,299,FMC,13.24B,2.17%,6.50%,22.00%,15.00%,1.30,0.90,0.67,1.21,40.30%,19.80%,12.50%,May 01/a,106.77,0.82%,1604693
299,300,FMS,13.96B,2.57%,-,-,-,-,-,-,-,-,-,-,-,23.57,0.00%,1865156
300,301,FMX,36.43B,1.71%,-,-,8.00%,1.80,1.40,0.76,0.86,37.40%,-,-,Apr 28/b,111.19,0.66%,280850
301,302,FND,10.32B,-,7.00%,18.50%,15.00%,1.30,0.10,0.17,0.18,41.00%,9.10%,6.90%,May 04/a,96.26,-0.83%,885245
302,303,FNV,36.77B,1.24%,10.30%,10.60%,10.70%,28.80,28.80,0.00,0.00,64.60%,62.30%,53.90%,May 02/a,145.74,0.57%,1308340
303,304,FOX,16.47B,1.59%,-,-,-,-,-,-,-,-,-,-,May 09/b,31.5,-0.16%,1734483
304,305,FOXA,16.49B,1.49%,5.20%,10.50%,10.60%,1.80,1.60,0.59,0.71,35.50%,11.80%,7.80%,May 09/b,33.64,-0.09%,10264521
305,306,FSLR,20.60B,-,0.50%,0.70%,-1.30%,3.10,2.40,0.05,0.00,8.10%,1.70%,1.50%,Apr 27/a,188.99,-2.02%,3105346
306,307,FTNT,57.78B,-,16.30%,-297.90%,132.40%,1.30,1.20,86.92,0.00,75.90%,23.10%,20.50%,May 04/a,72.78,-1.10%,10912404
307,308,FTS,27.32B,5.27%,2.20%,7.40%,5.10%,0.70,0.60,1.36,1.50,63.70%,25.10%,12.30%,May 03/b,42.87,0.47%,663239
308,309,FTV,25.45B,0.39%,4.80%,8.00%,6.70%,0.90,0.70,0.21,0.31,57.90%,17.20%,12.90%,Apr 26/b,71.82,-0.21%,3688131
309,310,FWONA,30.69B,-,4.30%,7.30%,4.90%,2.00,2.00,0.43,0.43,32.10%,6.60%,18.70%,May 05/b,70.32,-1.68%,280884
310,311,FWONK,30.28B,-,-,-,-,-,-,-,-,-,-,-,May 05/b,78.09,-2.34%,1625131
311,312,GD,58.97B,2.43%,6.60%,18.70%,12.20%,1.40,0.90,0.48,0.55,16.60%,10.60%,8.50%,Apr 26/b,217.34,1.11%,1560349
312,313,GDDY,11.74B,-,4.70%,-93.60%,14.00%,0.70,0.70,-,-,63.60%,11.10%,8.00%,May 04/a,74.91,-1.41%,3275093
313,314,GE,114.79B,0.30%,4.70%,25.50%,-1.20%,1.30,0.90,0.64,0.71,25.70%,0.70%,11.30%,Apr 25/b,106.29,0.83%,10619041
314,315,GEHC,35.97B,0.15%,-,-,11.10%,1.20,0.90,1.53,1.53,-,-,-,Apr 25/b,78.65,-0.57%,5384994
315,316,GEN,12.08B,2.68%,10.10%,109.90%,14.70%,0.40,0.40,4.33,4.44,82.40%,36.50%,40.40%,May 11/a,18.63,-1.17%,10172338
316,317,GFI,13.43B,2.73%,9.60%,17.40%,17.40%,2.30,2.30,0.33,0.35,39.20%,33.40%,16.60%,-,14.98,-0.93%,37900230
317,318,GFL,18.28B,0.19%,-3.00%,-9.10%,1.50%,1.50,1.50,1.42,1.43,12.70%,1.60%,-8.10%,May 17/a,37.28,-0.48%,696328
318,319,GFS,34.73B,-,8.80%,16.10%,11.60%,1.90,1.50,0.26,0.28,28.50%,20.40%,19.00%,May 09/b,62.46,-0.76%,2639601
319,320,GGG,14.38B,1.09%,19.90%,26.50%,23.90%,3.40,2.10,0.04,0.06,49.90%,27.60%,22.40%,Apr 26/a,86.12,0.84%,1752900
320,321,GIB,22.28B,-,9.80%,20.30%,13.00%,1.10,0.80,0.37,0.48,16.10%,15.00%,11.20%,Apr 26/b,104.58,-0.56%,185572
321,322,GILD,98.54B,3.80%,8.90%,26.70%,13.10%,1.30,1.10,1.09,1.20,79.20%,32.70%,20.60%,Apr 27/a,78.86,-0.18%,13975915
322,323,GIS,47.41B,2.68%,9.00%,27.00%,13.50%,0.50,0.30,0.80,1.13,33.00%,18.70%,14.00%,Jun 28/b,80.71,0.00%,5344518
323,324,GL,10.35B,0.83%,3.10%,18.30%,13.80%,-,-,0.42,0.56,-,20.50%,15.30%,May 03/a,108.01,-0.29%,877458
324,325,GLPI,13.10B,5.78%,-,-,10.10%,-,-,1.69,1.69,96.10%,-,-,Apr 27/a,49.83,-0.24%,1686676
325,326,GLW,28.77B,3.12%,3.10%,7.80%,5.40%,1.40,0.80,0.56,0.57,30.90%,8.50%,6.70%,Apr 25/b,35.85,5.94%,21244427
326,327,GM,52.87B,0.95%,3.60%,13.90%,4.30%,1.10,0.90,1.11,1.64,13.90%,6.20%,5.80%,Apr 25/b,37.96,-0.18%,14509190
327,328,GMAB,25.20B,-,17.80%,20.00%,17.30%,14.40,14.40,0.03,0.03,-,41.00%,34.50%,May 10/b,38.77,0.05%,600709
328,329,GOLD,28.95B,2.39%,0.20%,0.50%,4.70%,2.70,2.10,0.21,0.21,28.70%,13.30%,1.10%,May 03/b,16.71,1.33%,21130784
329,330,GOOG,1571.57B,-,-,-,-,-,-,-,-,-,-,-,Apr 25/a,124.06,-1.38%,56622622
330,331,GOOGL,1592.38B,-,16.20%,22.80%,23.40%,2.40,2.30,0.05,0.05,55.50%,25.40%,20.60%,Apr 25/a,123.53,-1.25%,44465949
331,332,GPC,22.71B,2.35%,7.50%,33.00%,17.20%,1.20,0.60,0.79,0.86,35.10%,7.50%,5.50%,Apr 20/b,161.47,-0.11%,1381324
332,333,GPN,26.71B,0.99%,-0.30%,-0.60%,1.30%,0.90,0.90,0.75,0.82,58.60%,3.50%,-1.60%,May 01/b,100.68,-1.25%,3751644
333,334,GRAB,13.37B,-,-15.80%,-22.20%,-17.30%,5.40,5.30,0.10,0.12,18.00%,-65.50%,-86.90%,May 18/b,3.42,-0.58%,23693368
334,335,GRMN,20.31B,2.75%,12.50%,15.80%,15.10%,3.90,2.50,0.00,0.00,57.90%,20.60%,19.90%,May 03/b,106.0,-0.14%,1380234
335,336,GS,112.94B,2.96%,0.70%,9.30%,1.20%,-,-,2.32,8.83,51.60%,16.10%,12.60%,Apr 18/b,338.31,-0.42%,4481390
336,337,GSK,71.28B,3.97%,21.80%,122.20%,18.10%,1.00,0.70,1.41,1.77,70.40%,21.40%,50.30%,Apr 26/b,35.15,-0.34%,5945434
337,338,GWW,37.32B,1.02%,22.50%,68.90%,35.30%,2.70,1.50,0.83,0.85,38.90%,15.10%,10.60%,Apr 27/b,732.43,-1.54%,419238
338,339,H,11.92B,0.53%,4.70%,16.20%,5.80%,0.60,0.60,0.66,0.84,55.10%,5.60%,9.30%,May 04/b,113.17,0.40%,694206
339,340,HAL,29.51B,1.96%,8.50%,25.20%,13.40%,2.10,1.50,0.94,0.00,17.30%,14.60%,9.00%,Apr 25/b,32.58,-0.40%,10388206
340,341,HBAN,15.72B,5.68%,1.20%,14.50%,17.80%,-,-,0.58,0.58,-,76.30%,33.30%,Apr 20/b,10.92,0.28%,25608002
341,342,HBANL,15.76B,9.91%,-,-,-,-,-,-,-,-,-,-,-,24.86,0.12%,22085
342,343,HBANP,15.76B,6.00%,-,-,-,-,-,-,-,-,-,-,-,18.74,-1.11%,40466
343,344,HCA,78.65B,0.83%,11.00%,-186.30%,20.50%,1.20,1.00,-,-,84.40%,15.10%,9.40%,Apr 21/b,290.08,1.47%,2962332
344,345,HD,303.65B,2.78%,21.90%,-,41.70%,1.30,0.30,113.02,116.72,33.50%,15.20%,10.80%,-,300.38,-0.54%,10795560
