,No.,Ticker,Perf Week,Perf Month,Perf Quart,Perf Half,Perf Year,Perf YTD,Volatility W,Volatility M,Recom,Avg Volume,Rel Volume,Price,Change,Volume
723,724,TTC,0.71%,-6.69%,-8.10%,-14.40%,22.37%,-13.93%,1.94%,2.61%,2.7,495.01K,2.66,97.43,-0.27%,1315737
724,725,TTD,2.48%,15.52%,30.63%,50.04%,58.77%,70.49%,2.38%,3.23%,2.1,3.63M,0.8,76.43,-1.09%,2921283
725,726,TTE,-1.76%,-3.36%,2.26%,-4.33%,5.53%,-6.51%,1.54%,1.41%,2.0,1.50M,1.01,58.04,-1.17%,1517747
726,727,TTWO,3.44%,10.89%,19.23%,32.28%,9.89%,33.14%,1.45%,2.09%,2.0,1.69M,1.41,138.64,1.05%,2375485
727,728,TU,2.79%,-3.66%,-0.41%,-4.55%,-14.32%,0.98%,1.17%,1.25%,1.9,1.39M,1.63,19.5,1.30%,2264683
728,729,TW,-0.03%,-0.62%,-6.78%,10.25%,6.15%,9.03%,3.00%,2.65%,2.2,918.57K,1.46,70.79,-0.59%,1337179
729,730,TWLO,5.89%,40.88%,7.62%,32.57%,-20.56%,38.17%,4.13%,5.46%,2.5,4.71M,0.7,67.65,-0.62%,3283058
730,731,TXN,3.62%,6.91%,0.60%,0.53%,13.37%,6.98%,2.00%,2.03%,2.7,4.98M,2.04,176.76,-0.75%,10168802
731,732,TXT,2.07%,3.46%,0.68%,-7.47%,8.64%,-5.88%,1.84%,1.83%,2.2,1.34M,2.22,66.64,0.32%,2970835
732,733,TYL,1.32%,-0.34%,20.57%,17.69%,23.73%,22.14%,2.02%,1.98%,2.0,243.29K,3.19,393.8,-0.20%,776887
733,734,U,17.25%,41.49%,50.28%,30.83%,17.67%,48.86%,7.17%,7.07%,2.5,10.33M,3.18,42.56,2.14%,32789081
734,735,UAL,6.11%,12.04%,24.30%,33.42%,41.20%,41.91%,2.34%,2.58%,2.3,7.17M,0.95,53.5,-0.15%,6804471
735,736,UBER,6.17%,15.01%,36.94%,58.43%,97.55%,75.98%,3.20%,3.03%,1.8,23.20M,1.2,43.52,0.37%,27938167
736,737,UBS,1.09%,4.45%,13.60%,12.24%,27.31%,10.74%,1.11%,1.27%,1.5,5.09M,0.5,20.41,-0.05%,2524973
737,738,UDR,2.04%,7.10%,11.59%,7.00%,1.12%,12.11%,1.35%,1.86%,2.4,2.26M,1.67,43.42,0.91%,3777969
738,739,UHS,8.97%,10.58%,24.60%,13.60%,40.95%,5.49%,3.58%,2.67%,2.6,634.37K,2.34,148.62,0.55%,1485098
739,740,UI,10.63%,8.66%,-28.83%,-34.85%,-28.26%,-31.89%,3.23%,2.95%,3.0,68.71K,2.2,186.3,-0.40%,150837
740,741,UL,4.19%,-3.62%,5.66%,1.11%,17.86%,3.14%,0.70%,0.77%,2.7,2.10M,1.39,51.93,1.07%,2911364
741,742,ULTA,5.73%,-11.12%,-11.56%,-3.23%,10.43%,-4.51%,2.51%,2.63%,2.2,923.32K,2.02,447.91,-0.72%,1864711
742,743,UMC,3.43%,8.56%,1.74%,21.19%,11.13%,34.00%,1.74%,2.09%,2.6,6.60M,1.51,8.75,-1.91%,9943340
743,744,UNH,-7.12%,-5.43%,-2.35%,-14.84%,-1.26%,-13.52%,2.09%,1.96%,1.8,3.27M,2.34,458.49,-1.59%,7653910
744,745,UNP,2.50%,2.93%,7.72%,-5.93%,-2.46%,-1.16%,2.11%,1.95%,2.2,2.85M,1.45,204.67,-0.61%,4136995
745,746,UPS,4.75%,4.21%,-4.40%,-3.11%,1.54%,2.73%,1.81%,1.68%,2.3,3.46M,2.45,178.58,-0.23%,8463807
746,747,URI,3.62%,18.48%,8.92%,9.49%,51.56%,13.41%,3.60%,3.44%,2.4,1.04M,1.09,403.09,-1.68%,1132909
747,748,USB,1.80%,9.85%,1.52%,-22.73%,-27.85%,-23.30%,4.40%,3.46%,2.4,19.36M,1.56,33.45,0.48%,30107769
748,749,UTHR,0.77%,6.51%,4.79%,-16.79%,4.62%,-17.20%,1.97%,2.10%,2.0,440.33K,1.5,230.26,0.29%,658765
749,750,V,2.39%,-1.61%,5.30%,7.31%,16.70%,10.18%,1.77%,1.70%,1.9,6.76M,1.97,228.91,1.21%,13291117
750,751,VALE,2.85%,1.98%,-8.55%,-12.00%,-8.97%,-14.91%,1.80%,1.76%,2.4,23.51M,0.88,14.44,-0.21%,20756653
751,752,VEEV,6.63%,20.41%,15.88%,13.49%,9.22%,23.96%,2.56%,2.78%,2.1,1.02M,1.48,200.05,-0.63%,1509124
752,753,VICI,0.12%,2.67%,3.75%,-5.41%,10.49%,-0.19%,1.57%,1.48%,1.7,5.04M,1.49,32.34,-0.61%,7535957
753,754,VIPS,1.77%,9.75%,18.76%,34.16%,64.57%,30.43%,4.19%,4.45%,1.9,5.58M,1.15,17.79,-2.95%,6414563
754,755,VIV,0.11%,8.33%,22.96%,30.70%,0.02%,28.68%,2.47%,2.17%,2.3,1.81M,2.4,8.99,-2.07%,4340727
755,756,VLO,0.72%,1.88%,-9.62%,-4.61%,-10.98%,-9.97%,2.72%,2.83%,2.0,4.70M,2.11,114.21,0.16%,9936576
756,757,VMC,0.32%,5.50%,28.75%,12.30%,36.88%,18.39%,1.26%,1.54%,2.0,788.35K,1.6,207.31,-0.78%,1258642
757,758,VMW,4.42%,13.04%,19.52%,13.50%,16.95%,15.15%,2.35%,2.34%,2.8,1.44M,2.08,141.36,-0.72%,3006736
758,759,VOD,1.07%,-7.52%,-13.52%,-11.16%,-38.75%,-6.42%,1.70%,1.61%,1.7,5.50M,0.75,9.47,-0.11%,4151841
759,760,VRSK,2.35%,2.46%,24.68%,22.71%,40.16%,27.26%,1.75%,1.61%,2.2,1.02M,4.18,224.52,-0.02%,4246538
760,761,VRSN,1.23%,-0.12%,15.69%,11.37%,36.50%,8.88%,1.71%,1.55%,2.00,488.02K,2.15,223.69,-0.45%,1050686
761,762,VRTX,4.12%,1.96%,17.62%,11.47%,37.23%,20.47%,1.93%,2.15%,2.10,1.20M,2.17,347.89,-0.34%,2613300
762,763,VTR,0.79%,0.52%,4.16%,-0.84%,-8.28%,2.29%,1.91%,2.32%,2.10,2.43M,1.22,46.08,-0.11%,2974702
763,764,VTRS,9.70%,10.65%,9.12%,-9.10%,-3.83%,-7.55%,2.77%,2.37%,2.50,9.48M,2.49,10.29,3.52%,23640566
764,765,VZ,2.79%,0.77%,-0.90%,-2.64%,-25.82%,-7.46%,1.38%,1.66%,2.80,19.91M,1.81,36.46,0.05%,36072184
765,766,WAB,4.63%,6.32%,11.13%,0.22%,17.77%,3.84%,1.74%,1.92%,2.50,957.28K,2.27,103.64,1.37%,2174887
766,767,WAT,7.99%,2.00%,-9.96%,-21.74%,-16.98%,-21.42%,2.78%,2.33%,2.80,512.33K,3.22,269.2,0.41%,1648333
767,768,WBA,3.98%,1.97%,-0.73%,-19.59%,-19.79%,-12.55%,2.31%,2.35%,2.90,7.13M,2.25,32.67,2.03%,16013422
768,769,WBD,-7.51%,2.32%,-10.74%,16.58%,-13.80%,35.02%,4.65%,4.73%,2.20,19.97M,2.31,12.8,-2.51%,46108592
769,770,WCN,1.26%,-2.18%,2.37%,-2.09%,16.37%,3.76%,1.49%,1.49%,2.00,849.69K,1.1,137.54,0.08%,934625
770,771,WDAY,8.82%,18.16%,17.82%,24.04%,55.73%,32.91%,2.55%,2.94%,2.10,2.07M,1.6,222.4,-0.85%,3312226
771,772,WDC,1.73%,9.44%,15.36%,12.95%,-18.98%,28.27%,2.40%,2.95%,2.40,3.90M,1.42,40.47,-1.48%,5538206
772,773,WDS,5.91%,8.09%,19.12%,2.15%,11.85%,2.15%,2.00%,1.67%,-,488.37K,2.21,24.73,2.91%,1078992
773,774,WEC,1.67%,2.42%,-2.99%,-6.44%,-0.49%,-2.49%,1.54%,1.79%,2.40,1.43M,1.38,91.43,-0.16%,1965530
774,775,WELL,-0.85%,3.74%,16.96%,19.39%,2.50%,22.67%,1.92%,2.03%,1.90,2.32M,5.02,80.41,0.32%,11636337
775,776,WES,3.04%,5.27%,8.69%,3.69%,11.69%,2.46%,2.50%,2.67%,1.90,860.00K,3.26,27.15,0.11%,2806118
776,777,WFC,0.12%,4.25%,11.71%,0.00%,10.51%,2.16%,2.72%,2.41%,2.00,24.01M,1.52,42.18,-0.42%,36399112
777,778,WIT,-1.89%,0.43%,2.19%,-2.91%,-16.90%,0.21%,1.48%,1.33%,4.20,1.90M,1.71,4.67,-0.64%,3247138
778,779,WLK,2.96%,-1.07%,9.73%,4.11%,6.91%,11.86%,2.76%,2.87%,2.90,490.33K,1.38,114.7,-0.85%,676610
779,780,WM,1.44%,-1.01%,7.76%,-0.91%,13.49%,5.20%,1.14%,1.26%,2.30,1.62M,1.49,165.03,0.51%,2417208
780,781,WMB,0.46%,5.46%,7.88%,-9.46%,-3.84%,-7.20%,1.69%,1.95%,2.3,6.84M,2.07,30.53,-0.13%,14128112
781,782,WMG,9.34%,3.74%,-10.10%,-20.47%,3.70%,-22.44%,3.55%,3.04%,2.4,1.70M,1.19,27.16,1.12%,2024042
782,783,WMT,1.59%,4.01%,11.57%,6.04%,30.28%,9.69%,1.09%,1.35%,1.9,6.31M,1.83,155.53,-1.39%,11531691
783,784,WPC,-0.73%,0.87%,-9.41%,-12.57%,-14.79%,-9.99%,1.35%,1.53%,2.6,1.04M,1.66,70.34,0.13%,1728071
784,785,WPM,0.02%,-8.89%,-0.95%,13.14%,15.47%,14.82%,2.38%,2.45%,1.9,2.08M,1.64,44.87,0.43%,3414523
785,786,WPP,3.61%,0.84%,0.59%,9.89%,11.84%,14.54%,1.20%,1.30%,4.0,90.40K,3.82,56.31,0.88%,345666
786,787,WRB,3.65%,3.22%,-2.82%,-18.22%,-10.24%,-17.75%,1.89%,1.76%,2.0,1.80M,2.11,59.28,1.51%,3783795
787,788,WSO,4.19%,9.50%,23.93%,37.69%,49.61%,46.98%,2.03%,2.43%,2.7,366.93K,1.26,366.58,-0.17%,461141
788,789,WST,3.95%,4.02%,9.80%,48.63%,24.89%,53.83%,2.58%,2.01%,2.3,420.83K,2.68,362.04,0.62%,1129299
789,790,WTRG,-0.43%,0.90%,-2.66%,-15.00%,-2.20%,-13.20%,1.74%,1.99%,2.0,1.11M,1.92,41.43,-0.50%,2128171
790,791,WTW,4.12%,3.60%,5.22%,-4.33%,20.63%,-3.92%,1.50%,1.62%,2.5,492.56K,3.49,235.0,1.00%,1719948
791,792,WY,4.52%,5.16%,6.13%,-2.55%,-7.74%,2.70%,2.01%,1.93%,2.3,3.99M,3.83,31.0,0.78%,15280621
792,793,WYNN,1.49%,-4.76%,-3.09%,20.17%,74.81%,25.78%,2.05%,2.74%,2.4,2.45M,0.93,103.73,-0.80%,2265369
793,794,XEL,0.74%,-3.21%,-4.43%,-10.29%,-2.93%,-8.83%,1.77%,2.00%,2.5,3.09M,2.06,63.92,-0.62%,6368672
794,795,XM,0.00%,0.56%,2.38%,68.56%,47.15%,74.08%,0.15%,0.21%,2.9,3.70M,1.21,18.07,0.11%,4475947
795,796,XOM,-2.10%,0.30%,5.30%,-1.25%,10.79%,-4.69%,2.03%,2.00%,2.4,15.99M,2.7,105.13,-0.72%,43103014
796,797,XP,7.69%,32.28%,85.65%,50.54%,13.31%,44.26%,4.18%,4.14%,2.5,6.18M,0.79,22.13,1.24%,4860742
797,798,XPEV,28.30%,18.79%,28.73%,11.68%,-57.85%,14.49%,6.08%,5.36%,2.7,13.53M,1.29,11.38,-1.81%,17459063
798,799,XYL,3.40%,9.13%,19.75%,-1.14%,48.38%,2.60%,2.01%,2.15%,2.3,2.25M,1.55,113.44,0.09%,3473229
799,800,YPF,15.94%,31.56%,60.77%,96.89%,288.00%,58.32%,5.31%,4.29%,3.3,1.84M,2.55,14.55,8.18%,4696623
800,801,YUM,3.85%,0.99%,9.25%,5.61%,23.84%,8.20%,1.40%,1.68%,2.3,1.61M,2.32,138.58,-0.45%,3747820
801,802,YUMC,-0.54%,-2.94%,-2.17%,4.12%,43.55%,8.69%,1.61%,2.13%,2.0,1.63M,1.53,59.4,0.44%,2503321
802,803,Z,4.13%,2.19%,14.98%,23.00%,48.05%,44.92%,3.61%,3.39%,2.4,2.38M,4.33,46.68,-3.07%,10275926
803,804,ZBH,5.95%,7.27%,15.92%,12.37%,34.71%,13.02%,1.93%,1.84%,2.7,1.38M,2.04,144.1,1.07%,2812522
804,805,ZBRA,2.82%,3.95%,-2.19%,7.99%,-8.42%,10.14%,2.39%,2.68%,2.2,322.57K,1.97,282.4,-0.76%,636690
805,806,ZG,3.67%,2.12%,14.95%,23.21%,45.22%,46.62%,3.63%,3.31%,2.4,396.30K,1.09,45.76,-2.95%,432473
806,807,ZI,2.56%,19.25%,12.88%,-14.48%,-21.09%,-10.93%,4.85%,4.28%,2.0,4.55M,12.82,26.82,-5.56%,58345498
807,808,ZM,4.35%,3.26%,1.26%,-4.32%,-37.96%,3.42%,3.39%,4.22%,2.8,4.19M,1.13,70.06,0.17%,4728349
808,809,ZS,2.10%,29.67%,45.99%,25.07%,3.89%,37.63%,3.90%,4.52%,2.0,3.05M,1.05,154.01,-2.73%,3207002
809,810,ZTO,1.33%,-3.58%,-2.22%,4.30%,14.05%,3.53%,2.51%,2.73%,1.5,2.76M,2.13,27.46,-1.79%,5890676
810,811,ZTS,4.69%,-4.58%,3.81%,12.49%,8.02%,16.51%,1.97%,2.36%,1.9,1.94M,1.69,170.74,-0.40%,3285481
