,No.,Ticker,Market Cap,P/E,Fwd P/E,PEG,P/S,P/B,P/C,P/FCF,EPS this Y,EPS next Y,EPS past 5Y,EPS next 5Y,Sales past 5Y,Price,Change,Volume
178,179,COIN,12.73B,-,-,-,4.54,2.27,2.54,-,-181.40%,0.00%,-,-,-,55.59,2.47%,13699144
179,180,COO,18.20B,63.29,25.63,6.33,5.31,2.47,162.63,47.17,-86.90%,11.94%,0.60%,10.00%,9.10%,367.41,-0.04%,628289
180,181,COP,126.03B,8.37,10.21,-,1.67,2.68,14.64,10.16,140.30%,8.67%,65.60%,-10.12%,21.60%,104.92,0.74%,9904786
181,182,COST,234.51B,38.79,33.75,4.68,1.0,9.86,17.11,55.48,16.60%,10.46%,16.70%,8.30%,12.00%,523.65,-1.05%,3140937
182,183,COTY,10.62B,66.52,26.24,2.97,1.98,2.83,43.34,36.51,130.60%,-11.40%,16.00%,22.40%,-7.10%,12.44,-0.08%,6694373
183,184,CP,96.36B,19.66,15.23,1.47,10.43,1.85,332.29,48.99,-9.70%,20.38%,8.10%,13.34%,6.10%,78.52,0.11%,1816780
184,185,CPB,13.84B,17.79,14.80,3.11,1.49,3.87,62.08,59.93,-24.20%,4.36%,-3.60%,5.72%,8.00%,46.42,-0.04%,3679510
185,186,CPNG,30.19B,148.97,34.15,-,1.42,12.0,7.96,68.44,95.20%,93.87%,32.00%,-,53.60%,17.28,1.83%,9375071
186,187,CPRT,41.59B,36.50,31.49,1.64,11.07,7.44,-,47.84,16.00%,11.24%,22.10%,22.30%,19.30%,87.28,0.20%,4188973
187,188,CPT,11.97B,20.00,64.12,0.79,8.04,2.49,586.90,-,103.80%,11.08%,23.30%,25.29%,9.60%,113.11,0.86%,1257790
188,189,CQP,22.78B,6.84,11.02,1.55,1.36,87.33,-,-,45.70%,-27.60%,20.93%,4.40%,-,47.07,2.73%,592169
189,190,CRBG,10.83B,2.51,3.39,0.12,0.49,0.93,23.29,3.82,10.80%,22.66%,-,21.40%,-,16.47,-1.44%,2869032
190,191,CRH,38.16B,15.24,-,1.49,1.17,1.84,6.43,25.21,14.70%,-,12.10%,10.20%,8.60%,53.14,0.78%,1746004
191,192,CRL,10.69B,21.72,17.37,2.67,2.61,3.45,52.79,38.85,24.70%,16.69%,17.90%,8.13%,16.40%,209.99,0.49%,667462
192,193,CRM,206.41B,557.26,23.57,23.98,6.41,3.61,14.77,29.22,-85.90%,20.64%,-20.60%,23.24%,24.40%,211.76,-0.08%,13661531
193,194,CRWD,37.89B,-,50.40,-,15.49,22.85,12.93,50.84,24.00%,28.84%,-1.80%,38.80%,80.00%,155.14,-2.92%,6340498
194,195,CSCO,211.62B,18.72,12.87,2.59,3.85,5.04,9.09,20.04,12.70%,6.17%,8.20%,7.23%,1.40%,52.07,0.27%,37112242
195,196,CSGP,34.35B,91.96,55.54,4.60,15.26,4.89,6.79,92.80,25.10%,22.47%,21.90%,20.00%,17.70%,84.14,0.08%,7613417
196,197,CSL,12.26B,15.12,11.85,1.01,1.95,4.0,28.91,15.94,142.00%,10.08%,31.90%,15.00%,11.90%,239.58,-0.37%,979992
197,198,CSX,68.23B,16.31,15.96,1.99,4.5,5.53,46.45,27.67,16.00%,7.99%,22.10%,8.19%,5.40%,33.21,-1.04%,30031174
198,199,CTAS,50.07B,39.45,34.42,3.26,5.82,13.76,565.17,72.77,13.80%,11.14%,22.80%,12.11%,8.10%,491.36,-0.21%,625449
199,200,CTRA,19.00B,4.83,8.63,-,2.08,1.52,19.52,10.96,121.00%,18.54%,79.40%,-11.26%,38.70%,25.21,0.52%,21771520
200,201,CTSH,32.85B,14.52,13.99,2.70,1.69,2.62,13.24,15.57,9.00%,8.79%,4.40%,5.37%,5.60%,65.08,0.53%,5836794
201,202,CTVA,41.00B,33.59,16.35,3.31,2.31,1.59,23.69,-,-31.90%,17.77%,-13.20%,10.13%,4.40%,57.23,-0.78%,10088758
202,203,CUK,20.03B,-,-,-,1.34,2.37,4.97,-,39.00%,-,-28.00%,13.40%,-7.00%,14.22,-1.46%,2442347
203,204,CVE,32.37B,8.10,4.62,-,0.68,1.53,-,10.62,-14.60%,32.68%,9.20%,-8.36%,31.50%,16.65,-1.83%,7694540
204,205,CVS,89.10B,22.31,7.61,4.94,0.27,1.22,5.03,6.16,-47.30%,3.52%,-8.90%,4.52%,11.80%,67.72,-2.56%,18190479
205,206,CVX,297.71B,8.50,10.93,-,1.28,1.87,18.84,12.09,124.60%,4.53%,37.10%,-7.68%,11.80%,157.26,-0.64%,22851275
206,207,CX,11.11B,18.18,10.14,1.34,0.7,0.88,11.76,-,-32.50%,16.40%,-45.10%,13.60%,-43.00%,7.2,-1.37%,7170956
207,208,CZR,10.81B,-,21.89,-,0.95,2.92,11.20,28.22,48.90%,512.91%,-33.50%,27.50%,48.90%,48.84,-2.75%,3795437
208,209,D,44.20B,37.11,14.24,4.12,2.44,1.68,-,-,-66.10%,-2.19%,-20.40%,9.00%,6.40%,53.33,0.87%,9863989
209,210,DAL,27.56B,14.48,6.21,0.42,0.51,4.37,4.17,22.46,370.70%,21.10%,-16.20%,34.27%,4.20%,42.79,-0.21%,12204599
210,211,DAR,10.29B,14.49,10.66,0.34,1.48,2.59,77.63,24.57,15.40%,10.35%,52.20%,42.99%,12.30%,65.12,0.95%,2068010
211,212,DASH,27.88B,-,-,-,3.89,4.39,8.19,65.15,-164.50%,41.50%,-,56.00%,-,73.26,2.09%,3657957
212,213,DB,21.29B,3.92,4.62,0.16,0.66,0.27,0.03,-,154.10%,17.31%,45.20%,23.91%,0.60%,10.42,-1.79%,3683169
213,214,DD,32.00B,31.91,16.24,2.70,2.51,1.19,6.61,-,-4.90%,17.64%,26.40%,11.82%,2.20%,69.41,-0.43%,7874417
214,215,DDOG,31.61B,-,61.54,-,17.62,20.20,15.66,92.98,-136.90%,30.65%,103.26%,22.65%,75.40%,95.75,-2.48%,4338584
215,216,DE,119.19B,13.68,12.63,1.00,2.0,5.37,22.63,169.78,22.60%,1.22%,28.40%,13.71%,11.90%,407.63,0.27%,2118653
216,217,DECK,13.39B,26.41,19.89,1.44,3.69,7.64,13.64,29.34,19.10%,17.19%,27.30%,18.40%,13.80%,512.72,0.14%,490384
217,218,DELL,36.51B,18.86,8.15,114.33,0.38,-,4.78,22.75,-48.20%,9.86%,22.40%,0.17%,5.30%,49.67,-1.06%,9351738
218,219,DEO,95.59B,21.73,-,2.82,4.42,9.48,23.64,136.91,23.20%,-,5.30%,7.70%,5.10%,173.46,-0.25%,590539
219,220,DFS,29.78B,7.79,8.26,1.07,2.1,2.28,2.94,4.74,-13.20%,5.27%,21.10%,7.30%,5.90%,115.32,-1.65%,5916613
220,221,DG,35.90B,15.48,14.93,2.95,0.93,6.07,114.67,-,4.90%,9.33%,18.90%,5.25%,10.00%,164.32,0.39%,4779634
221,222,DGX,15.37B,20.48,15.23,-,1.6,2.57,87.82,27.49,-48.60%,4.32%,11.00%,-0.47%,6.00%,138.6,1.02%,2672989
222,223,DHI,39.36B,7.85,10.37,-,1.17,1.92,12.9,16.50,44.60%,0.84%,43.20%,-7.40%,18.90%,116.4,0.86%,6316988
223,224,DHR,179.69B,26.02,23.34,9.24,5.81,3.54,24.35,27.69,13.70%,10.22%,25.70%,2.81%,15.20%,241.8,-0.70%,6380330
224,225,DIS,169.83B,40.50,17.12,1.85,1.95,1.71,16.33,121.74,57.80%,36.14%,-21.00%,21.89%,8.50%,91.32,-1.74%,22641615
225,226,DKNG,11.47B,-,-,-,4.42,10.94,7.52,-,16.60%,55.70%,-,38.10%,63.50%,24.51,-1.29%,14098348
226,227,DKS,11.65B,11.74,9.86,1.60,0.93,4.20,7.09,34.54,-24.20%,2.05%,28.40%,7.35%,7.60%,135.1,0.02%,1463642
227,228,DLR,30.71B,93.00,76.00,8.44,6.26,1.86,233.68,-,-80.90%,40.37%,2.70%,11.02%,13.80%,105.18,-0.20%,4568562
228,229,DLTR,30.51B,22.03,18.65,1.65,1.06,3.38,34.96,63.82,24.30%,21.49%,8.30%,13.34%,5.00%,136.22,-1.60%,2591443
229,230,DOCU,10.98B,-,20.12,-,4.24,14.55,8.51,23.42,-36.30%,4.86%,-4.80%,20.00%,37.10%,53.85,-0.79%,5750262
230,231,DOV,20.57B,20.14,15.03,2.06,2.41,4.63,75.51,39.69,-4.10%,9.44%,11.00%,9.78%,4.50%,147.73,0.44%,1529268
231,232,DOW,37.83B,13.28,11.32,-,0.71,1.87,11.4,15.36,-25.10%,50.05%,39.60%,-2.06%,5.40%,53.16,-0.60%,9530598
232,233,DOX,11.63B,22.02,14.88,2.18,2.45,3.22,13.49,30.77,-16.50%,11.11%,8.40%,10.10%,3.40%,97.6,0.95%,926017
233,234,DPZ,11.50B,25.50,22.17,2.32,2.53,-,41.97,44.26,-7.50%,11.85%,16.50%,11.00%,10.20%,331.41,1.83%,2064234
234,235,DRI,20.18B,21.65,18.92,2.38,1.95,9.86,73.3,55.65,54.20%,10.29%,14.10%,9.10%,6.10%,166.01,-0.51%,1926328
235,236,DT,15.23B,139.16,43.11,12.46,13.15,9.24,27.43,45.69,105.30%,18.68%,12.60%,11.17%,23.80%,51.21,-2.18%,3588547
236,237,DTE,23.48B,20.22,17.09,2.73,1.27,2.21,204.16,-,34.60%,7.16%,-0.80%,7.40%,8.80%,114.12,0.18%,4874008
237,238,DUK,70.66B,18.09,15.42,3.15,2.44,1.50,156.68,-,-4.70%,6.03%,3.00%,5.74%,4.10%,92.18,0.53%,8690182
238,239,DVN,31.83B,5.43,7.42,-,1.66,2.93,35.88,-,118.00%,6.91%,94.00%,-2.94%,24.10%,49.8,0.40%,16246841
239,240,DXCM,50.77B,188.55,86.85,6.33,16.8,22.55,19.78,122.05,57.80%,37.43%,37.80%,29.80%,32.30%,130.1,-0.67%,4306193
240,241,E,48.22B,3.53,-,0.18,0.35,0.79,2.45,4.71,144.30%,-,33.60%,19.50%,14.60%,28.43,-0.56%,834863
241,242,EA,35.18B,44.86,16.88,8.04,4.74,4.83,12.71,31.05,4.60%,11.50%,-6.80%,5.58%,7.60%,128.66,-0.26%,3122195
242,243,EBAY,24.39B,37.68,9.87,4.75,2.48,4.49,3.57,16.37,-700.70%,8.38%,-25.90%,7.94%,-0.30%,45.06,-1.23%,8588093
243,244,EBR,18.91B,-,-,-,0.54,0.17,-,-,-,-,-,3.10%,-,8.01,-3.03%,3037527
244,245,EBR-B,18.91B,-,-,-,0.54,0.19,-,-,-,-,-34.13%,11.40%,-,8.95,-5.29%,221753
245,246,EC,21.18B,2.75,4.79,-,0.53,1.23,4.99,-,100.10%,0.00%,38.20%,-13.00%,23.60%,10.45,0.19%,1365594
246,247,ECL,51.88B,45.16,31.10,3.39,3.58,7.05,123.70,109.87,-2.50%,17.29%,-3.60%,13.31%,0.50%,182.04,-0.10%,2509734
247,248,ED,32.24B,13.25,17.76,2.16,2.01,1.57,41.81,-,21.10%,7.67%,2.60%,6.12%,5.40%,92.97,-0.05%,4677104
248,249,EDR,10.74B,-,13.67,-,1.99,3.22,14.94,23.02,140.00%,30.22%,27.00%,24.90%,11.80%,22.33,-1.11%,2333094
249,250,EFX,28.50B,48.29,25.34,3.57,5.63,6.93,122.59,98.59,-6.20%,26.81%,4.90%,13.52%,8.80%,229.77,-1.13%,1373090
250,251,EIX,26.35B,32.19,13.75,5.43,1.53,1.97,31.52,-,-20.00%,7.93%,-12.70%,5.93%,6.90%,70.18,2.01%,3756051
251,252,EL,71.27B,67.49,38.14,17.90,4.49,12.42,12.89,498.41,-16.00%,58.71%,14.40%,3.77%,8.40%,203.95,2.28%,5233445
252,253,ELS,12.67B,47.22,39.21,6.75,8.75,8.85,1162.67,153.99,7.10%,8.62%,6.10%,7.00%,9.40%,68.7,0.94%,1457025
253,254,ELV,107.08B,17.24,11.98,1.40,0.67,2.82,10.56,10.86,0.30%,12.64%,19.40%,12.32%,11.70%,443.21,-1.89%,2485995
254,255,EMR,50.31B,20.45,18.84,2.05,2.88,4.39,24.59,62.65,41.60%,10.43%,16.20%,10.00%,5.20%,87.41,-0.70%,5519605
255,256,ENB,75.39B,42.02,12.53,9.56,1.98,1.83,102.12,-,-55.60%,3.07%,32.20%,4.40%,3.70%,37.48,0.62%,3618921
256,257,ENPH,24.74B,53.69,24.67,2.85,9.46,25.61,13.91,29.73,170.30%,31.55%,86.70%,18.86%,52.10%,181.81,0.72%,4622896
257,258,ENTG,16.41B,4096.54,29.64,820.95,4.62,5.02,23.18,-,-51.30%,45.27%,6.70%,4.99%,19.60%,106.51,-2.85%,3172118
258,259,EOG,65.33B,7.09,8.66,-,2.36,2.6,13.02,24.08,65.50%,14.32%,82.00%,-1.00%,17.80%,113.41,1.53%,6109452
259,260,EPAM,13.19B,30.14,19.90,4.78,2.71,4.05,7.29,24.57,-13.10%,11.11%,21.50%,6.30%,27.20%,219.51,-3.66%,1465093
260,261,EPD,57.23B,10.43,9.81,2.13,0.99,2.14,753.07,53.89,18.60%,3.22%,13.90%,4.90%,14.80%,26.39,0.27%,3729158
261,262,EQIX,72.91B,88.18,73.32,4.78,9.69,6.02,27.59,-,38.60%,17.66%,68.00%,18.45%,10.70%,778.61,-0.13%,904142
262,263,EQNR,97.43B,3.28,-,0.57,0.69,1.64,1.86,5.46,243.00%,-,45.20%,5.80%,19.60%,30.13,-2.02%,4548741
263,264,EQR,25.14B,27.33,41.01,1.76,9.02,2.27,188.32,131.21,-42.00%,-2.63%,4.80%,15.51%,2.00%,66.72,0.56%,3799493
264,265,EQT,14.09B,3.80,8.93,0.13,1.31,1.18,6.62,6.14,223.20%,79.53%,47.00%,29.11%,19.40%,39.64,1.77%,11567296
265,266,ERIC,17.97B,11.08,9.53,-,0.68,1.50,4.39,-,-17.50%,42.50%,20.70%,-9.90%,5.70%,5.43,0.18%,9769865
266,267,ERIE,11.38B,40.08,27.85,4.01,3.9,7.63,63.28,104.24,0.30%,9.72%,7.60%,10.00%,10.90%,216.99,-0.33%,180786
267,268,ES,24.77B,17.29,15.46,2.58,1.98,1.60,688.08,-,14.20%,6.71%,5.40%,6.70%,9.50%,72.08,1.51%,4268061
268,269,ESS,15.07B,31.41,41.01,3.98,9.2,2.72,222.61,251.59,-16.40%,-7.76%,-0.90%,7.90%,3.30%,236.92,0.90%,728773
269,270,ET,39.76B,9.53,8.22,1.83,0.45,1.47,120.49,12.79,-25.90%,6.19%,32.60%,5.20%,17.30%,12.82,-0.16%,9260684
270,271,ETN,78.48B,29.84,20.54,3.14,3.67,4.37,149.77,86.81,15.10%,10.37%,-1.20%,9.51%,0.30%,191.26,-2.86%,6246828
271,272,ETR,21.61B,18.56,14.19,2.81,1.56,1.65,10.97,-,-3.10%,7.35%,-0.10%,6.60%,4.40%,102.01,-0.18%,3772342
272,273,ETSY,11.84B,-,30.24,-,4.51,-,11.39,18.40,-262.00%,29.58%,58.29%,16.00%,42.20%,94.6,-1.43%,4232949
273,274,EVRG,13.69B,17.69,14.97,6.62,2.31,1.44,482.08,-,-14.70%,8.78%,7.50%,2.67%,17.90%,59.31,-0.50%,2716179
274,275,EW,55.34B,38.26,31.85,3.92,10.06,9.34,44.12,56.16,2.40%,13.26%,12.50%,9.76%,9.40%,91.94,0.71%,6594329
275,276,EXAS,16.85B,-,-,-,7.66,5.46,24.11,-,-1.70%,33.80%,-29.00%,-,50.90%,93.42,0.03%,2269490
276,277,EXC,40.60B,18.22,16.44,1.14,2.1,1.64,77.77,-,36.50%,5.96%,-12.20%,16.00%,-10.70%,41.21,0.96%,9590593
277,278,EXPD,18.22B,15.55,22.64,-,1.21,5.82,7.75,8.78,-0.10%,-4.18%,27.20%,-,19.80%,118.83,-0.37%,3246628
278,279,EXPE,15.87B,53.99,9.10,1.82,1.31,8.82,2.67,5.53,221.10%,26.18%,-1.30%,29.71%,3.00%,105.87,-1.16%,3788663
279,280,EXR,19.69B,22.88,22.96,3.81,9.92,6.01,410.14,-,3.50%,8.36%,11.60%,6.00%,11.70%,145.28,-0.34%,1572912
280,281,F,57.81B,20.11,8.67,-,0.35,1.36,1.46,-,-111.10%,-5.89%,-17.90%,-7.90%,0.20%,14.42,-0.21%,75215766
281,282,FANG,22.94B,5.30,6.23,-,2.5,1.52,498.64,-,100.00%,13.62%,34.30%,-0.73%,51.60%,128.74,1.64%,4052750
282,283,FAST,32.11B,29.21,26.38,4.61,4.5,9.87,133.92,164.86,17.80%,7.14%,14.50%,6.33%,9.70%,56.58,0.60%,6521724
283,284,FCNCA,19.99B,1.82,7.85,-,5.11,1.02,0.50,27.01,25.10%,-79.17%,18.30%,-,25.30%,1282.99,-1.21%,182279
284,285,FCNCO,19.66B,0.35,-,-,5.04,0.02,-,-,-,-,-,-,-,20.3,-1.00%,8366
285,286,FCNCP,19.76B,0.34,-,-,5.06,0.02,-,-,-,-,-,-,-,19.74,0.41%,6075
286,287,FCX,57.45B,22.27,18.37,-,2.66,3.56,8.38,-,-17.80%,9.37%,20.60%,-8.55%,6.80%,39.89,-0.47%,16104764
287,288,FDS,16.18B,36.62,25.66,3.00,8.06,10.03,33.91,38.85,-1.10%,10.26%,9.50%,12.20%,8.60%,420.91,-0.33%,512862
288,289,FDX,59.43B,20.13,12.72,4.21,0.64,2.37,11.06,58.49,-22.10%,23.33%,5.30%,4.78%,9.20%,233.46,-1.26%,3246718
289,290,FE,22.40B,54.64,14.63,99.35,1.76,2.18,126.57,-,-68.70%,5.37%,-19.00%,0.55%,2.70%,39.07,-0.10%,6885722
290,291,FERG,31.08B,16.81,16.29,-,1.04,6.57,49.73,20.92,32.20%,-2.70%,18.20%,-5.05%,8.20%,151.07,-0.53%,2121886
291,292,FI,74.29B,31.73,14.28,2.25,4.09,2.50,25.90,21.56,96.60%,13.95%,12.00%,14.13%,25.50%,119.96,-0.32%,6416508
292,293,FICO,20.05B,53.35,34.19,2.96,14.09,-,145.48,46.30,5.80%,18.91%,28.90%,18.04%,8.10%,799.96,-0.27%,262831
293,294,FIS,32.02B,-,8.42,-,2.2,1.20,-,25.45,-10.70%,9.39%,4.26%,2.05%,10.90%,54.78,1.35%,6073957
294,295,FITB,18.22B,7.70,7.88,1.59,2.42,1.12,1.32,3.97,-10.40%,-0.21%,6.30%,4.84%,8.00%,26.54,-0.82%,11155224
295,296,FIVE,10.83B,39.89,28.07,2.06,3.43,7.64,25.58,90.96,-5.30%,21.53%,20.70%,19.32%,19.20%,190.43,-2.16%,534700
296,297,FLEX,11.93B,15.59,9.81,0.94,0.39,2.26,3.62,37.89,-11.40%,11.93%,16.50%,16.56%,3.60%,26.77,-0.30%,3750427
297,298,FLT,18.05B,19.40,12.34,1.59,5.1,6.22,14.18,17.39,24.30%,15.52%,13.70%,12.20%,8.80%,243.63,-0.34%,672390
298,299,FMC,13.24B,16.52,12.11,1.72,2.28,3.86,26.78,-,5.60%,13.83%,30.80%,9.61%,15.00%,106.77,0.82%,1604693
299,300,FMS,13.96B,20.86,8.96,20.45,0.71,1.00,-,-,31.00%,17.40%,-12.76%,1.02%,-,23.57,0.00%,1865156
300,301,FMX,36.43B,23.61,20.59,10.26,0.88,2.33,5.21,-,-16.10%,8.90%,-34.20%,2.30%,8.90%,111.19,0.66%,280850
301,302,FND,10.32B,34.46,29.18,2.54,2.37,5.90,2063.04,-,5.20%,24.63%,26.60%,13.59%,25.20%,96.26,-0.83%,885245
302,303,FNV,36.77B,31.34,35.91,4.99,22.19,3.24,22.28,47.47,-4.70%,11.39%,27.10%,6.28%,14.30%,145.74,0.57%,1308340
303,304,FOX,16.47B,14.72,13.40,1.60,1.1,1.57,-,-,-,14.60%,-,9.20%,-,31.5,-0.16%,1734483
304,305,FOXA,16.49B,15.92,10.70,1.57,1.11,1.72,3.98,10.41,-41.50%,-4.70%,-0.90%,10.15%,7.10%,33.64,-0.09%,10264521
305,306,FSLR,20.60B,489.61,14.71,86.81,7.36,3.43,9.07,-,-109.50%,77.34%,-16.80%,5.64%,-2.30%,188.99,-2.02%,3105346
306,307,FTNT,57.78B,60.00,41.92,3.11,12.23,7278.00,20.07,31.69,46.60%,18.58%,58.60%,19.32%,24.20%,72.78,-1.10%,10912404
307,308,FTS,27.32B,14.55,13.71,2.60,2.37,1.05,47.44,-,6.30%,4.20%,0.40%,5.60%,5.90%,42.87,0.47%,663239
308,309,FTV,25.45B,33.66,19.48,4.61,4.31,2.57,37.82,23.96,27.20%,9.80%,-1.90%,7.30%,0.20%,71.82,-0.21%,3688131
309,310,FWONA,30.69B,33.94,64.22,84.85,11.83,2.42,19.37,98.04,391.60%,198.37%,15.20%,0.40%,7.60%,70.32,-1.68%,280884
310,311,FWONK,30.28B,42.44,69.72,-,11.67,2.69,-,-,-77.20%,128.60%,-,-2.00%,-,78.09,-2.34%,1625131
311,312,GD,58.97B,17.78,14.69,1.63,1.48,3.12,28.94,37.47,5.50%,16.90%,4.10%,10.90%,4.90%,217.34,1.11%,1560349
312,313,GDDY,11.74B,35.95,21.39,1.92,2.85,-,13.16,12.72,54.00%,44.83%,27.60%,18.70%,12.90%,74.91,-1.41%,3275093
313,314,GE,114.79B,15.54,26.51,0.59,1.55,3.66,4.63,28.04,116.30%,95.66%,16.50%,26.50%,-5.10%,106.29,0.83%,10619041
314,315,GEHC,35.97B,21.09,18.20,-,1.92,5.35,15.46,-,-14.70%,15.23%,-,-,-,78.65,-0.57%,5384994
315,316,GEN,12.08B,8.79,7.79,0.63,3.62,5.43,16.10,27.64,52.80%,19.43%,36.40%,13.90%,5.50%,18.63,-1.17%,10172338
316,317,GFI,13.43B,18.84,-,2.22,3.13,3.17,17.46,43.35,-10.00%,-,86.40%,8.50%,9.20%,14.98,-0.93%,37900230
317,318,GFL,18.28B,-,26.88,-,2.55,1.98,250.47,75.74,70.20%,48.66%,-9.60%,-,38.40%,37.28,-0.48%,696328
318,319,GFS,34.73B,23.01,21.39,9.24,4.34,3.35,11.67,-,630.00%,35.12%,-,2.49%,-,62.46,-0.76%,2639601
319,320,GGG,14.38B,30.31,26.98,2.91,6.6,7.29,36.37,145.65,5.70%,4.83%,10.00%,10.40%,7.80%,86.12,0.84%,1752900
320,321,GIB,22.28B,21.68,13.40,2.27,2.15,4.05,23.00,20.36,11.60%,10.32%,12.10%,9.53%,3.50%,104.58,-0.56%,185572
321,322,GILD,98.54B,17.83,10.97,7.75,3.64,4.69,16.78,21.18,-26.20%,6.03%,-13.90%,2.30%,0.90%,78.86,-0.18%,13975915
322,323,GIS,47.41B,17.42,17.98,2.47,2.38,4.67,76.62,37.39,16.90%,5.75%,9.80%,7.06%,4.00%,80.71,0.00%,5344518
323,324,GL,10.35B,13.30,9.60,0.89,1.98,2.71,60.14,7.43,3.50%,8.15%,8.90%,14.89%,4.60%,108.01,-0.29%,877458
324,325,GLPI,13.10B,17.33,17.36,2.06,9.69,3.47,1927.18,-,19.30%,6.69%,9.40%,8.41%,6.20%,49.83,-0.24%,1686676
325,326,GLW,28.77B,33.73,14.84,4.11,2.1,2.54,25.10,-,20.10%,21.96%,10.00%,8.21%,7.00%,35.85,5.94%,21244427
326,327,GM,52.87B,5.87,5.83,0.37,0.33,0.76,1.87,-,-8.50%,-4.88%,3.30%,15.70%,1.50%,37.96,-0.18%,14509190
327,328,GMAB,25.20B,32.94,3.11,1.22,11.19,6.33,6.99,42.01,83.70%,35.30%,-43.72%,27.00%,-,38.77,0.05%,600709
328,329,GOLD,28.95B,273.93,14.66,40.89,2.68,1.29,6.61,-,-78.50%,23.90%,-23.60%,6.70%,5.60%,16.71,1.33%,21130784
329,330,GOOG,1571.57B,27.27,19.85,1.55,5.52,6.05,-,-,16.90%,17.30%,22.30%,17.61%,-,124.06,-1.38%,56622622
330,331,GOOGL,1592.38B,27.89,19.62,1.58,5.59,6.05,13.83,25.72,-18.80%,17.88%,23.30%,17.61%,20.60%,123.53,-1.25%,44465949
331,332,GPC,22.71B,18.49,16.47,2.08,1.01,5.79,34.88,55.43,33.30%,8.21%,12.90%,8.90%,6.30%,161.47,-0.11%,1381324
332,333,GPN,26.71B,-,8.54,-,2.93,1.2,13.34,20.20,-87.70%,14.14%,-27.30%,14.55%,17.70%,100.68,-1.25%,3751644
333,334,GRAB,13.37B,-,-,-,7.73,2.04,2.74,-,52.10%,50.00%,-,-,-,3.42,-0.58%,23693368
334,335,GRMN,20.31B,21.17,18.33,3.78,4.2,3.17,13.10,-,-10.00%,10.64%,6.10%,5.60%,9.30%,106.0,-0.14%,1380234
335,336,GS,112.94B,12.05,8.86,10.84,1.42,1.1,0.49,3.65,-49.40%,19.83%,8.70%,1.11%,9.60%,338.31,-0.42%,4481390
336,337,GSK,71.28B,12.47,8.77,2.49,1.92,4.71,8.00,417.32,50.50%,8.10%,9.60%,5.00%,-0.60%,35.15,-0.34%,5945434
337,338,GWW,37.32B,22.32,18.99,1.55,2.38,13.44,80.95,48.21,51.50%,7.60%,24.70%,14.44%,7.90%,732.43,-1.54%,419238
338,339,H,11.92B,21.33,30.15,-,1.89,3.26,11.34,22.15,291.50%,32.61%,2.90%,-,5.70%,113.17,0.40%,694206
339,340,HAL,29.51B,15.11,8.99,0.46,1.36,3.5,15.71,34.64,6.00%,16.86%,35.80%,33.10%,-0.30%,32.58,-0.40%,10388206
340,341,HBAN,15.72B,7.07,8.02,-,2.31,0.97,1.18,7.00,61.90%,-4.36%,10.80%,-2.15%,11.70%,10.92,0.28%,25608002
341,342,HBANL,15.76B,-,-,-,2.2,2.21,-,-,-,-,-,-,-,24.86,0.12%,22085
342,343,HBANP,15.76B,24.09,-,-,2.2,1.66,-,-,-,-,-,-,-,18.74,-1.11%,40466
343,344,HCA,78.65B,14.54,14.55,1.81,1.29,-,93.40,21.86,-9.50%,9.77%,23.10%,8.03%,6.70%,290.08,1.47%,2962332
344,345,HD,303.65B,18.29,18.88,8.93,1.95,834.39,240.99,58.68,7.40%,6.28%,17.70%,2.05%,9.30%,300.38,-0.54%,10795560
345,346,HDB,107.90B,26.15,18.99,1.35,6.63,4.01,5.91,-,17.60%,21.10%,20.50%,19.30%,12.90%,66.45,2.86%,2832053
346,347,HEI,20.02B,60.74,48.72,4.67,8.05,8.06,157.37,52.14,15.40%,16.21%,13.20%,13.00%,7.70%,165.89,-0.23%,278943
347,348,HEI-A,19.98B,48.55,40.16,-,8.03,6.44,-,-,15.70%,11.90%,4.34%,-,-,132.54,-0.15%,361767
348,349,HES,41.70B,20.69,15.54,2.60,3.65,5.09,19.86,33.66,274.60%,76.52%,20.30%,7.95%,15.70%,135.56,-0.18%,2568214
349,350,HIG,22.05B,12.37,7.36,0.95,0.96,1.61,145.04,5.88,-17.80%,20.83%,26.30%,13.00%,5.40%,71.88,1.15%,2607683
350,351,HLN,37.54B,27.52,-,-,2.62,2.38,42.94,-,-23.80%,-,-,-,-,8.42,0.96%,2096395
351,352,HLT,37.22B,30.93,21.11,1.07,3.98,-,41.31,24.14,210.50%,13.03%,25.10%,28.84%,1.50%,140.81,0.10%,2668234
352,353,HMC,58.33B,10.73,-,0.81,0.48,0.66,2.01,-,-0.30%,-,-7.10%,13.20%,1.90%,31.32,-2.13%,2601854
353,354,HOLX,19.95B,27.08,19.78,2.71,4.92,3.79,7.72,23.73,-28.80%,5.20%,14.20%,10.00%,9.70%,81.2,0.20%,4133676
354,355,HON,135.57B,26.35,20.11,3.38,3.77,8.01,18.72,150.30,-8.10%,10.23%,4.20%,7.80%,-2.60%,202.97,-0.37%,5002796
355,356,HPE,22.54B,22.76,8.24,4.00,0.76,1.12,8.10,47.55,-74.50%,0.90%,20.30%,5.69%,-0.30%,17.57,0.69%,24479472
356,357,HPQ,30.66B,11.76,8.73,7.30,0.55,-,-,24.83,-42.80%,5.50%,15.50%,1.61%,3.90%,31.0,-0.32%,13959223
