,No.,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume
455,456,MAA,"Mid-America Apartment Communities, Inc.",Real Estate,REIT - Residential,USA,17.99B,27.28,155.29,0.73%,1196027
456,457,MANH,"Manhattan Associates, Inc.",Technology,Software - Application,USA,12.02B,88.27,191.81,-0.99%,711363
457,458,MAR,"Marriott International, Inc.",Consumer Cyclical,Lodging,USA,53.84B,20.65,176.36,-0.18%,4717893
458,459,MAS,Masco Corporation,Industrials,Building Products & Equipment,USA,12.61B,15.61,55.5,-0.93%,3486825
459,460,MBLY,Mobileye Global Inc.,Consumer Cyclical,Auto Parts,Israel,32.01B,-,39.16,-1.43%,3679880
460,461,MCD,McDonald's Corporation,Consumer Cyclical,Restaurants,USA,213.63B,31.52,293.7,0.37%,4885811
461,462,MCHP,Microchip Technology Incorporated,Technology,Semiconductors,USA,46.56B,21.28,85.49,0.14%,9202383
462,463,MCK,McKesson Corporation,Healthcare,Medical Distribution,USA,54.22B,16.20,406.2,1.53%,1488747
463,464,MCO,Moody's Corporation,Financial,Financial Data & Stock Exchanges,USA,63.92B,44.20,341.85,-1.85%,1242615
464,465,MDB,"MongoDB, Inc.",Technology,Software - Infrastructure,USA,27.20B,-,379.9,-1.43%,1613136
465,466,MDLZ,"Mondelez International, Inc.",Consumer Defensive,Confectioners,USA,100.04B,25.69,73.57,0.15%,10878563
466,467,MDT,Medtronic plc,Healthcare,Medical Devices,Ireland,117.44B,29.31,89.15,1.02%,9043743
467,468,MELI,"MercadoLibre, Inc.",Consumer Cyclical,Internet Retail,Uruguay,61.45B,97.66,1194.74,-2.37%,779212
468,469,MET,"MetLife, Inc.",Financial,Insurance - Life,USA,42.24B,30.31,55.5,0.62%,10275175
469,470,META,"Meta Platforms, Inc.",Communication Services,Internet Content & Information,USA,722.25B,33.73,281.0,-0.29%,43001938
470,471,MFC,Manulife Financial Corporation,Financial,Insurance - Life,Canada,35.64B,8.68,18.99,-1.61%,4603642
471,472,MFG,"Mizuho Financial Group, Inc.",Financial,Banks - Regional,Japan,38.60B,-,2.98,-0.67%,325976
472,473,MGA,Magna International Inc.,Consumer Cyclical,Auto Parts,Canada,16.24B,37.32,56.99,0.41%,915195
473,474,MGM,MGM Resorts International,Consumer Cyclical,Resorts & Casinos,USA,15.91B,9.11,42.64,-2.47%,7900910
474,475,MKC,"McCormick & Company, Incorporated",Consumer Defensive,Packaged Foods,USA,24.67B,37.56,92.65,0.73%,1712860
475,476,MKL,Markel Group Inc.,Financial,Insurance - Property & Casualty,USA,17.86B,64.65,1343.69,0.39%,53665
476,477,MKTX,MarketAxess Holdings Inc.,Financial,Capital Markets,USA,10.56B,40.22,277.15,-1.09%,1206502
477,478,MLM,"Martin Marietta Materials, Inc.",Basic Materials,Building Materials,USA,26.61B,27.58,426.54,-0.68%,614593
478,479,MMC,"Marsh & McLennan Companies, Inc.",Financial,Insurance Brokers,USA,89.31B,28.33,181.15,0.34%,2850674
479,480,MMM,3M Company,Industrials,Conglomerates,USA,57.27B,10.83,104.54,0.70%,6192663
480,481,MMP,"Magellan Midstream Partners, L.P.",Energy,Oil & Gas Midstream,USA,12.16B,12.81,60.1,-0.13%,4657114
481,482,MNST,Monster Beverage Corporation,Consumer Defensive,Beverages - Non-Alcoholic,USA,61.55B,38.89,58.45,-0.60%,7688721
482,483,MO,"Altria Group, Inc.",Consumer Defensive,Tobacco,USA,78.81B,14.16,44.07,-0.18%,13649728
483,484,MOH,"Molina Healthcare, Inc.",Healthcare,Healthcare Plans,USA,16.54B,18.93,278.02,-2.04%,763075
484,485,MOS,The Mosaic Company,Basic Materials,Agricultural Inputs,USA,11.72B,4.43,35.82,1.53%,12257793
485,486,MPC,Marathon Petroleum Corporation,Energy,Oil & Gas Refining & Marketing,USA,48.30B,3.43,113.29,-0.47%,10768231
486,487,MPLX,MPLX LP,Energy,Oil & Gas Midstream,USA,33.94B,8.72,34.07,0.50%,4238976
487,488,MPWR,"Monolithic Power Systems, Inc.",Technology,Semiconductors,USA,24.63B,53.61,517.61,-0.32%,1110036
488,489,MRK,"Merck & Co., Inc.",Healthcare,Drug Manufacturers - General,USA,277.60B,21.33,109.32,-0.07%,15830593
489,490,MRNA,"Moderna, Inc.",Healthcare,Biotechnology,USA,49.55B,11.13,128.73,-0.96%,5496062
490,491,MRO,Marathon Oil Corporation,Energy,Oil & Gas E&P,USA,14.38B,5.77,23.5,0.90%,18394763
491,492,MRVL,"Marvell Technology, Inc.",Technology,Semiconductors,USA,53.35B,-,61.12,-1.47%,17815753
492,493,MS,Morgan Stanley,Financial,Capital Markets,USA,148.72B,15.13,88.09,-1.08%,13141638
493,494,MSCI,MSCI Inc.,Financial,Financial Data & Stock Exchanges,USA,39.04B,43.80,477.73,-2.01%,628092
494,495,MSFT,Microsoft Corporation,Technology,Software - Infrastructure,USA,2588.29B,37.10,342.33,-1.66%,46393046
495,496,MSI,"Motorola Solutions, Inc.",Technology,Communication Equipment,USA,47.34B,35.04,280.25,-0.72%,1302324
496,497,MT,ArcelorMittal S.A.,Basic Materials,Steel,Luxembourg,24.04B,4.06,28.12,-0.11%,1770252
497,498,MTB,M&T Bank Corporation,Financial,Banks - Regional,USA,20.70B,9.51,123.16,-1.29%,2639862
498,499,MTCH,"Match Group, Inc.",Communication Services,Internet Content & Information,USA,12.06B,40.74,42.25,-2.42%,5853503
499,500,MTD,Mettler-Toledo International Inc.,Healthcare,Diagnostics & Research,USA,29.43B,33.57,1321.97,-1.07%,188749
500,501,MU,"Micron Technology, Inc.",Technology,Semiconductors,USA,75.32B,48.61,67.66,-1.69%,32169642
501,502,MUFG,"Mitsubishi UFJ Financial Group, Inc.",Financial,Banks - Diversified,Japan,89.65B,10.58,6.93,-1.28%,1788033
502,503,NDAQ,"Nasdaq, Inc.",Financial,Financial Data & Stock Exchanges,USA,25.65B,22.21,51.22,-2.01%,7413080
503,504,NDSN,Nordson Corporation,Industrials,Specialty Industrial Machinery,USA,13.48B,26.62,237.11,0.22%,360292
504,505,NEE,"NextEra Energy, Inc.",Utilities,Utilities - Regulated Electric,USA,150.46B,22.50,75.59,1.65%,23040560
505,506,NEM,Newmont Corporation,Basic Materials,Gold,USA,33.93B,-,43.83,2.65%,17156301
506,507,NET,"Cloudflare, Inc.",Technology,Software - Infrastructure,USA,23.32B,-,67.63,-3.73%,4966284
507,508,NFLX,"Netflix, Inc.",Communication Services,Entertainment,USA,197.94B,50.84,431.96,-2.99%,8731801
508,509,NGG,National Grid plc,Utilities,Utilities - Regulated Electric,United Kingdom,48.18B,14.40,67.93,1.01%,609499
509,510,NI,NiSource Inc.,Utilities,Utilities - Regulated Gas,USA,11.29B,18.58,27.38,0.15%,5454390
510,511,NICE,NICE Ltd.,Technology,Software - Application,Israel,14.44B,52.28,223.6,-2.20%,341950
511,512,NIMC,NiSource Inc.,Utilities,Utilities - Regulated Gas,USA,11.31B,65.70,101.24,0.21%,1706
512,513,NIO,NIO Inc.,Consumer Cyclical,Auto Manufacturers,China,16.52B,-,9.4,-3.98%,81068201
513,514,NKE,"NIKE, Inc.",Consumer Cyclical,Footwear & Accessories,USA,172.77B,32.77,113.59,1.05%,14337878
514,515,NLY,"Annaly Capital Management, Inc.",Real Estate,REIT - Mortgage,USA,10.32B,-,20.59,-1.44%,10140555
515,516,NMR,"Nomura Holdings, Inc.",Financial,Capital Markets,Japan,12.42B,18.59,3.96,0.00%,1175594
516,517,NOC,Northrop Grumman Corporation,Industrials,Aerospace & Defense,USA,68.77B,14.83,458.35,1.21%,1178360
517,518,NOK,Nokia Oyj,Technology,Communication Equipment,Finland,24.07B,5.12,4.28,0.94%,20144274
518,519,NOW,"ServiceNow, Inc.",Technology,Software - Application,USA,117.02B,288.22,565.48,-1.55%,2086255
519,520,NSC,Norfolk Southern Corporation,Industrials,Railroads,USA,50.83B,17.25,224.14,0.38%,1995668
520,521,NTAP,"NetApp, Inc.",Technology,Computer Hardware,USA,15.78B,12.84,74.37,0.83%,3140499
521,522,NTES,"NetEase, Inc.",Communication Services,Electronic Gaming & Multimedia,China,63.30B,20.83,98.45,0.32%,1372434
522,523,NTR,Nutrien Ltd.,Basic Materials,Agricultural Inputs,Canada,39.12B,3.57,60.07,0.74%,2204887
523,524,NTRS,Northern Trust Corporation,Financial,Asset Management,USA,15.76B,12.71,74.71,-1.23%,1991273
524,525,NU,Nu Holdings Ltd.,Financial,Banks - Diversified,Brazil,34.93B,-,7.54,1.75%,22099888
525,526,NUE,Nucor Corporation,Basic Materials,Steel,USA,37.98B,5.90,151.41,0.15%,3177400
526,527,NVDA,NVIDIA Corporation,Technology,Semiconductors,USA,1053.53B,221.89,426.92,0.09%,65402829
527,528,NVO,Novo Nordisk A/S,Healthcare,Biotechnology,Denmark,278.67B,40.84,161.29,-0.76%,1051568
528,529,NVR,"NVR, Inc.",Consumer Cyclical,Residential Construction,USA,19.29B,12.59,5990.38,0.76%,50762
529,530,NVS,Novartis AG,Healthcare,Drug Manufacturers - General,Switzerland,228.43B,31.34,101.83,0.43%,2683278
530,531,NWG,NatWest Group plc,Financial,Banks - Diversified,United Kingdom,29.31B,6.22,6.59,0.00%,1775795
531,532,NWS,News Corporation,Communication Services,Entertainment,USA,11.27B,43.04,19.8,0.20%,1496592
532,533,NWSA,News Corporation,Communication Services,Entertainment,USA,11.24B,42.73,19.57,0.31%,3908237
533,534,NXPI,NXP Semiconductors N.V.,Technology,Semiconductors,Netherlands,50.85B,18.96,197.85,1.07%,4512624
534,535,O,Realty Income Corporation,Real Estate,REIT - Retail,USA,41.22B,43.08,61.39,0.26%,18463207
535,536,OC,Owens Corning,Industrials,Building Products & Equipment,USA,11.08B,8.85,122.16,-0.62%,2378288
536,537,ODFL,"Old Dominion Freight Line, Inc.",Industrials,Trucking,USA,36.01B,26.77,325.46,-0.89%,1332931
537,538,OKE,"ONEOK, Inc.",Energy,Oil & Gas Midstream,USA,27.34B,11.50,60.95,-0.26%,7630644
538,539,OKTA,"Okta, Inc.",Technology,Software - Infrastructure,USA,12.37B,-,75.75,-0.56%,3921285
539,540,OMC,Omnicom Group Inc.,Communication Services,Advertising Agencies,USA,19.07B,14.29,95.15,-0.47%,2585462
540,541,ON,ON Semiconductor Corporation,Technology,Semiconductors,USA,39.30B,22.00,90.15,-0.93%,28115614
541,542,ORAN,Orange S.A.,Communication Services,Telecom Services,France,29.84B,14.14,11.28,-0.79%,2272107
542,543,ORCL,Oracle Corporation,Technology,Software - Infrastructure,USA,341.66B,40.89,125.46,-0.86%,19438215
543,544,ORLY,"O'Reilly Automotive, Inc.",Consumer Cyclical,Specialty Retail,USA,56.46B,26.56,919.02,-0.91%,885195
544,545,OTEX,Open Text Corporation,Technology,Software - Application,Canada,11.34B,37.24,41.49,-1.07%,773874
545,546,OTIS,Otis Worldwide Corporation,Industrials,Specialty Industrial Machinery,USA,36.59B,29.28,88.62,0.09%,3052289
546,547,OWL,Blue Owl Capital Inc.,Financial,Asset Management,USA,16.49B,481.25,11.55,-1.45%,3237196
547,548,OXY,Occidental Petroleum Corporation,Energy,Oil & Gas E&P,USA,52.47B,6.62,58.15,-0.46%,13715211
548,549,PAG,"Penske Automotive Group, Inc.",Consumer Cyclical,Auto & Truck Dealerships,USA,10.80B,8.51,153.72,-1.80%,394729
549,550,PANW,"Palo Alto Networks, Inc.",Technology,Software - Infrastructure,USA,74.57B,387.02,246.53,1.12%,54804402
550,551,PARA,Paramount Global,Communication Services,Entertainment,USA,10.87B,-,16.28,-1.51%,12996149
551,552,PATH,UiPath Inc.,Technology,Software - Infrastructure,USA,10.52B,-,18.1,-3.47%,14361977
552,553,PAYC,"Paycom Software, Inc.",Technology,Software - Application,USA,18.75B,60.15,319.92,-1.24%,671869
553,554,PAYX,"Paychex, Inc.",Industrials,Staffing & Employment Services,USA,40.85B,27.39,113.59,0.25%,3842225
554,555,PBA,Pembina Pipeline Corporation,Energy,Oil & Gas Midstream,Canada,17.19B,8.42,31.23,0.42%,763399
555,556,PBR,Petroleo Brasileiro S.A. - Petrobras,Energy,Oil & Gas Integrated,Brazil,85.58B,2.40,13.9,0.80%,15216152
556,557,PBR-A,Petroleo Brasileiro S.A. - Petrobras,Energy,Oil & Gas Integrated,Brazil,86.01B,2.28,12.37,0.49%,15659513
557,558,PCAR,PACCAR Inc,Industrials,Farm & Heavy Construction Machinery,USA,41.33B,15.86,78.63,-0.57%,3943723
558,559,PCG,PG&E Corporation,Utilities,Utilities - Regulated Electric,USA,42.67B,19.59,17.4,0.87%,21673674
559,560,PCGU,PG&E Corporation,Utilities,Utilities - Regulated Electric,USA,43.04B,1234.84,150.65,0.41%,50940
560,561,PCTY,Paylocity Holding Corporation,Technology,Software - Application,USA,10.59B,88.13,184.98,-2.52%,585530
561,562,PDD,PDD Holdings Inc.,Consumer Cyclical,Internet Retail,Ireland,106.65B,22.24,79.87,-1.18%,12500401
562,563,PEAK,"Healthpeak Properties, Inc.",Real Estate,REIT - Healthcare Facilities,USA,11.36B,20.82,20.67,-0.43%,7153600
563,564,PEG,Public Service Enterprise Group Incorporated,Utilities,Utilities - Regulated Electric,USA,31.07B,13.49,62.54,0.45%,5330707
564,565,PEN,"Penumbra, Inc.",Healthcare,Medical Devices,USA,12.94B,2057.13,337.37,-0.27%,558848
565,566,PEP,"PepsiCo, Inc.",Consumer Defensive,Beverages - Non-Alcoholic,USA,255.85B,38.68,186.04,0.18%,8912369
566,567,PFE,Pfizer Inc.,Healthcare,Drug Manufacturers - General,USA,224.40B,7.90,40.06,0.78%,60290730
567,568,PFG,"Principal Financial Group, Inc.",Financial,Asset Management,USA,17.99B,4.45,74.78,0.92%,3110138
568,569,PG,The Procter & Gamble Company,Consumer Defensive,Household & Personal Products,USA,349.89B,26.04,149.54,0.73%,11229476
569,570,PGR,The Progressive Corporation,Financial,Insurance - Property & Casualty,USA,75.13B,93.72,129.99,1.27%,3352610
570,571,PH,Parker-Hannifin Corporation,Industrials,Specialty Industrial Machinery,USA,47.99B,31.95,369.1,-1.32%,1037095
571,572,PHG,Koninklijke Philips N.V.,Healthcare,Medical Devices,Netherlands,18.75B,-,20.41,-0.39%,972932
572,573,PHM,"PulteGroup, Inc.",Consumer Cyclical,Residential Construction,USA,16.51B,6.27,73.51,-0.61%,5781284
573,574,PINS,"Pinterest, Inc.",Communication Services,Internet Content & Information,USA,17.07B,-,25.36,1.60%,12959099
574,575,PKG,Packaging Corporation of America,Consumer Cyclical,Packaging & Containers,USA,11.93B,12.71,132.42,-0.18%,1737723
575,576,PKX,POSCO Holdings Inc.,Basic Materials,Steel,South Korea,25.62B,13.96,75.98,-0.61%,439110
576,577,PLD,"Prologis, Inc.",Real Estate,REIT - Industrial,USA,112.40B,37.04,122.63,0.75%,5830935
577,578,PLTR,Palantir Technologies Inc.,Technology,Software - Infrastructure,USA,35.15B,-,16.3,-1.81%,90235561
578,579,PM,Philip Morris International Inc.,Consumer Defensive,Tobacco,USA,147.04B,16.95,94.89,0.17%,9474971
579,580,PNC,"The PNC Financial Services Group, Inc.",Financial,Banks - Regional,USA,51.40B,8.80,128.47,-0.25%,3460613
580,581,PNR,Pentair plc,Industrials,Specialty Industrial Machinery,United Kingdom,10.06B,20.39,60.81,-0.33%,1593838
581,582,PODD,Insulet Corporation,Healthcare,Medical Devices,USA,20.01B,-,284.5,-0.92%,727495
582,583,POOL,Pool Corporation,Industrials,Industrial Distribution,USA,13.96B,21.18,357.95,0.12%,556376
583,584,PPG,"PPG Industries, Inc.",Basic Materials,Specialty Chemicals,USA,33.26B,26.62,143.08,1.28%,2673810
584,585,PPL,PPL Corporation,Utilities,Utilities - Regulated Electric,USA,19.91B,27.40,26.99,-0.07%,8309809
585,586,PRU,"Prudential Financial, Inc.",Financial,Insurance - Life,USA,31.67B,1000.34,87.03,0.31%,3973720
586,587,PSA,Public Storage,Real Estate,REIT - Industrial,USA,50.57B,12.21,287.1,-0.19%,1798441
587,588,PSTG,"Pure Storage, Inc.",Technology,Computer Hardware,USA,11.55B,-,37.74,0.37%,5880773
588,589,PSX,Phillips 66,Energy,Oil & Gas Refining & Marketing,USA,44.52B,3.76,97.13,0.11%,4962188
589,590,PTC,PTC Inc.,Technology,Software - Application,USA,16.99B,53.76,143.15,-0.31%,1514625
590,591,PUK,Prudential plc,Financial,Insurance - Life,United Kingdom,39.56B,39.58,28.89,-1.06%,289563
591,592,PWR,"Quanta Services, Inc.",Industrials,Engineering & Construction,USA,26.97B,54.85,185.95,0.08%,1751534
592,593,PXD,Pioneer Natural Resources Company,Energy,Oil & Gas E&P,USA,47.52B,7.34,206.8,1.73%,4239170
593,594,PYPL,"PayPal Holdings, Inc.",Financial,Credit Services,USA,73.47B,28.12,66.43,0.88%,29672744
594,595,QCOM,QUALCOMM Incorporated,Technology,Semiconductors,USA,137.70B,13.05,122.68,-0.75%,12886685
595,596,QGEN,Qiagen N.V.,Healthcare,Diagnostics & Research,Netherlands,10.62B,30.48,46.76,0.39%,723331
596,597,QRVO,"Qorvo, Inc.",Technology,Semiconductors,USA,10.12B,111.18,102.62,0.11%,3467042
597,598,QSR,Restaurant Brands International Inc.,Consumer Cyclical,Restaurants,Canada,23.81B,23.39,76.43,-0.09%,732681
598,599,RACE,Ferrari N.V.,Consumer Cyclical,Auto Manufacturers,Italy,55.87B,52.12,308.02,0.62%,294920
599,600,RBA,"RB Global, Inc.",Industrials,Specialty Business Services,USA,10.37B,58.20,57.09,0.07%,12523543
600,601,RBLX,Roblox Corporation,Communication Services,Electronic Gaming & Multimedia,USA,24.81B,-,41.8,2.88%,15243676
601,602,RCI,Rogers Communications Inc.,Communication Services,Telecom Services,Canada,23.37B,16.37,43.97,-0.52%,479517
602,603,RCL,Royal Caribbean Cruises Ltd.,Consumer Cyclical,Travel Services,USA,24.53B,-,95.3,-0.64%,3901028
603,604,RE,"Everest Re Group, Ltd.",Financial,Insurance - Reinsurance,Bermuda,14.76B,21.30,352.35,2.35%,587120
604,605,REG,Regency Centers Corporation,Real Estate,REIT - Retail,USA,10.40B,27.28,61.14,0.49%,1101866
605,606,REGN,"Regeneron Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA,85.91B,21.28,783.05,-0.00%,993137
606,607,RELX,RELX PLC,Industrials,Specialty Business Services,United Kingdom,63.49B,31.43,34.04,1.64%,2030391
607,608,REXR,"Rexford Industrial Realty, Inc.",Real Estate,REIT - Industrial,USA,11.53B,56.73,53.72,-0.09%,4014994
608,609,RF,Regions Financial Corporation,Financial,Banks - Regional,USA,17.19B,7.72,18.12,-1.09%,17517692
609,610,RIO,Rio Tinto Group,Basic Materials,Other Industrial Metals & Mining,United Kingdom,114.32B,8.86,67.55,-1.17%,3722183
610,611,RIVN,"Rivian Automotive, Inc.",Consumer Cyclical,Auto Manufacturers,USA,14.32B,-,14.88,-2.36%,92074575
611,612,RJF,"Raymond James Financial, Inc.",Financial,Capital Markets,USA,21.23B,13.16,100.09,-0.08%,2048186
612,613,RKT,"Rocket Companies, Inc.",Financial,Mortgage Finance,USA,18.43B,-,9.19,-1.50%,2835054
613,614,RMD,ResMed Inc.,Healthcare,Medical Instruments & Supplies,USA,32.17B,37.38,219.04,0.03%,734121
614,615,ROK,"Rockwell Automation, Inc.",Industrials,Specialty Industrial Machinery,USA,36.69B,27.81,315.8,-1.13%,1431118
615,616,ROKU,"Roku, Inc.",Communication Services,Entertainment,USA,10.10B,-,70.69,-1.48%,5787356
616,617,ROL,"Rollins, Inc.",Consumer Cyclical,Personal Services,USA,20.52B,52.68,41.09,-1.32%,2399819
617,618,ROP,"Roper Technologies, Inc.",Technology,Software - Application,USA,49.15B,47.43,458.78,-0.51%,1014913
618,619,ROST,"Ross Stores, Inc.",Consumer Cyclical,Apparel Retail,USA,36.75B,23.94,107.84,-0.04%,3476998
619,620,RPM,RPM International Inc.,Basic Materials,Specialty Chemicals,USA,10.95B,20.85,85.22,0.29%,957677
620,621,RPRX,Royalty Pharma plc,Healthcare,Biotechnology,USA,19.55B,42.25,31.9,-0.93%,4651436
621,622,RRX,Regal Rexnord Corporation,Industrials,Specialty Industrial Machinery,USA,10.07B,28.31,151.24,-0.49%,561306
622,623,RS,Reliance Steel & Aluminum Co.,Basic Materials,Steel,USA,15.04B,9.17,256.07,0.07%,809344
623,624,RSG,"Republic Services, Inc.",Industrials,Waste Management,USA,45.72B,30.40,145.73,0.82%,1515007
624,625,RTO,Rentokil Initial plc,Industrials,Specialty Business Services,United Kingdom,20.38B,54.64,40.65,-0.02%,839858
625,626,RTX,Raytheon Technologies Corporation,Industrials,Aerospace & Defense,USA,143.19B,26.11,97.74,-0.27%,9029088
626,627,RVTY,"Revvity, Inc.",Healthcare,Diagnostics & Research,USA,14.76B,41.83,119.26,1.35%,1309272
627,628,RY,Royal Bank of Canada,Financial,Banks - Diversified,Canada,131.89B,12.46,95.45,0.23%,757883
628,629,RYAAY,Ryanair Holdings plc,Industrials,Airlines,Ireland,20.76B,17.08,107.89,0.87%,406703
629,630,RYAN,"Ryan Specialty Holdings, Inc.",Financial,Insurance - Specialty,USA,11.10B,75.92,42.97,0.54%,747175
630,631,SAN,"Banco Santander, S.A.",Financial,Banks - Diversified,Spain,58.00B,5.51,3.49,-0.29%,7201905
631,632,SAP,SAP SE,Technology,Software - Application,Germany,166.03B,76.61,137.28,0.18%,983343
632,633,SBAC,SBA Communications Corporation,Real Estate,REIT - Specialty,USA,25.35B,67.40,230.57,-1.44%,1017989
633,634,SBUX,Starbucks Corporation,Consumer Cyclical,Restaurants,USA,116.22B,33.02,101.87,0.48%,11700812
634,635,SCCO,Southern Copper Corporation,Basic Materials,Copper,USA,57.33B,21.58,74.44,0.38%,1610628
635,636,SCHW,The Charles Schwab Corporation,Financial,Capital Markets,USA,101.03B,14.84,54.4,-2.00%,19332186
636,637,SCI,Service Corporation International,Consumer Cyclical,Personal Services,USA,10.01B,21.32,66.21,-0.05%,1946576
637,638,SE,Sea Limited,Consumer Cyclical,Internet Retail,Singapore,35.63B,-,62.08,-1.26%,4705731
638,639,SEDG,"SolarEdge Technologies, Inc.",Technology,Solar,Israel,15.63B,81.17,276.7,-0.27%,1054118
639,640,SGEN,Seagen Inc.,Healthcare,Biotechnology,USA,37.04B,-,198.32,0.39%,1570596
640,641,SHEL,Shell plc,Energy,Oil & Gas Integrated,United Kingdom,202.00B,5.00,60.35,-0.54%,6410215
641,642,SHG,"Shinhan Financial Group Co., Ltd.",Financial,Banks - Regional,South Korea,14.27B,4.11,27.33,-0.73%,96377
642,643,SHOP,Shopify Inc.,Technology,Software - Application,Canada,84.54B,-,64.71,-2.10%,13535781
643,644,SHW,The Sherwin-Williams Company,Basic Materials,Specialty Chemicals,USA,64.33B,30.41,247.89,-0.63%,2243733
644,645,SIRI,Sirius XM Holdings Inc.,Communication Services,Entertainment,USA,14.82B,13.68,3.94,2.87%,57935776
645,646,SJM,The J. M. Smucker Company,Consumer Defensive,Packaged Foods,USA,16.30B,28.65,153.1,0.14%,1064623
646,647,SLB,Schlumberger Limited,Energy,Oil & Gas Equipment & Services,USA,68.27B,17.81,47.78,-0.25%,14733232
647,648,SLF,Sun Life Financial Inc.,Financial,Insurance - Diversified,Canada,29.84B,13.55,50.91,0.10%,414746
648,649,SMCI,"Super Micro Computer, Inc.",Technology,Computer Hardware,USA,12.80B,21.75,230.77,-5.39%,3029255
649,650,SMFG,"Sumitomo Mitsui Financial Group, Inc.",Financial,Banks - Diversified,Japan,57.55B,9.85,8.26,-1.31%,2066410
650,651,SNA,Snap-on Incorporated,Industrials,Tools & Accessories,USA,14.52B,15.72,273.87,-0.15%,481886
651,652,SNAP,Snap Inc.,Communication Services,Internet Content & Information,USA,17.07B,-,10.68,0.19%,28822677
652,653,SNN,Smith & Nephew plc,Healthcare,Medical Devices,United Kingdom,13.83B,63.18,32.16,0.50%,2029472
653,654,SNOW,Snowflake Inc.,Technology,Software - Application,USA,62.24B,-,184.18,-3.56%,6579936
654,655,SNPS,"Synopsys, Inc.",Technology,Software - Infrastructure,USA,67.92B,74.45,441.19,-1.16%,1889110
655,656,SNY,Sanofi,Healthcare,Drug Manufacturers - General,France,130.24B,14.31,52.04,0.48%,1142213
656,657,SO,The Southern Company,Utilities,Utilities - Regulated Electric,USA,77.16B,23.22,71.76,1.41%,9344807
657,658,SONY,Sony Group Corporation,Technology,Consumer Electronics,Japan,125.58B,18.12,97.57,-2.11%,777968
658,659,SPG,"Simon Property Group, Inc.",Real Estate,REIT - Retail,USA,36.27B,17.08,112.79,1.69%,3045164
659,660,SPGI,S&P Global Inc.,Financial,Financial Data & Stock Exchanges,USA,128.31B,46.52,395.21,-1.19%,1881802
660,661,SPLK,Splunk Inc.,Technology,Software - Infrastructure,USA,18.30B,-,108.02,-2.23%,2884860
661,662,SPOT,Spotify Technology S.A.,Communication Services,Internet Content & Information,Luxembourg,29.43B,-,159.99,5.13%,3530028
662,663,SQ,"Block, Inc.",Technology,Software - Infrastructure,USA,40.04B,-,66.51,0.48%,12225184
663,664,SQM,Sociedad Quimica y Minera de Chile S.A.,Basic Materials,Specialty Chemicals,Chile,19.37B,5.34,72.16,0.22%,1638035
664,665,SRE,Sempra,Utilities,Utilities - Diversified,USA,46.75B,19.11,148.2,-0.26%,2258696
665,666,SRPT,"Sarepta Therapeutics, Inc.",Healthcare,Biotechnology,USA,12.26B,-,130.44,-0.89%,1550736
666,667,SSNC,"SS&C Technologies Holdings, Inc.",Technology,Software - Application,USA,15.00B,25.80,60.12,-0.13%,2023954
667,668,STE,STERIS plc,Healthcare,Medical Devices,Ireland,21.06B,205.99,213.61,0.04%,1057938
668,669,STLA,Stellantis N.V.,Consumer Cyclical,Auto Manufacturers,Netherlands,54.23B,3.00,17.34,1.05%,4579144
669,670,STLD,"Steel Dynamics, Inc.",Basic Materials,Steel,USA,17.91B,5.46,102.53,-3.24%,7401493
670,671,STM,STMicroelectronics N.V.,Technology,Semiconductors,Switzerland,45.37B,11.10,49.99,0.28%,5019370
671,672,STT,State Street Corporation,Financial,Asset Management,USA,24.95B,10.33,73.77,-1.18%,7079859
672,673,STX,Seagate Technology Holdings plc,Technology,Computer Hardware,Ireland,13.70B,-,64.3,-2.78%,4022708
673,674,STZ,"Constellation Brands, Inc.",Consumer Defensive,Beverages - Wineries & Distilleries,USA,45.66B,-,246.03,-1.27%,1503044
674,675,SU,Suncor Energy Inc.,Energy,Oil & Gas Integrated,Canada,39.61B,6.68,30.14,-0.33%,4200323
675,676,SUI,"Sun Communities, Inc.",Real Estate,REIT - Residential,USA,16.66B,77.78,134.87,0.72%,1109954
676,677,SUZ,Suzano S.A.,Basic Materials,Paper & Paper Products,Brazil,13.27B,3.36,10.01,0.10%,5564275
677,678,SWAV,"Shockwave Medical, Inc.",Healthcare,Medical Devices,USA,10.85B,46.50,294.37,-0.60%,557938
678,679,SWK,"Stanley Black & Decker, Inc.",Industrials,Tools & Accessories,USA,14.01B,-,90.9,-0.63%,2677182
679,680,SWKS,"Skyworks Solutions, Inc.",Technology,Semiconductors,USA,17.44B,15.79,109.26,-0.28%,3652068
680,681,SYF,Synchrony Financial,Financial,Credit Services,USA,14.33B,5.79,32.9,-1.61%,8459772
681,682,SYK,Stryker Corporation,Healthcare,Medical Devices,USA,112.23B,42.83,294.35,-0.44%,2429656
682,683,SYM,Symbotic Inc.,Industrials,Specialty Industrial Machinery,USA,27.02B,-,51.22,5.30%,1929486
683,684,SYY,Sysco Corporation,Consumer Defensive,Food Distribution,USA,37.19B,24.26,73.39,-0.01%,4396581
684,685,T,AT&T Inc.,Communication Services,Telecom Services,USA,114.60B,-,16.06,0.19%,64091844
685,686,TAK,Takeda Pharmaceutical Company Limited,Healthcare,Drug Manufacturers - Specialty & Generic,Japan,51.25B,22.29,16.09,-0.37%,3243622
